Spanish,French
necesitar,avoir besoin
muchos,de nombreux
usuario,utilisateur
dijo,mentionné
Delaware,de
lo hace,Est-ce que
colocar,ensemble
debajo,sous
general,général
investigar,recherche
Universidad,Université
enero,janvier
correo,courrier
lleno,complet
mapa,carte
comentarios,Commentaires
programa,programme
vida,la vie
saber,savoir
juegos,Jeux
camino,manière
dias,jours
administración,la gestion
pag,p
parte,partie
podría,pourrait
estupendo,super
Unido,uni
hotel,Hôtel
verdadero,réel
F,F
artículo,Objet
internacional,international
centrar,centre
eBay,eBay
debe,doit
Tienda,boutique
viaje,voyager
comentarios,commentaires
hecha,fabriqué
desarrollo,développement
reporte,rapport
apagado,désactivé
miembro,membre
detalles,des détails
línea,ligne
condiciones,termes
antes de,avant
hoteles hoteles,hôtels
hizo,fait
enviar,envoyer
Derecha,droit
escribe,taper
porque,car
local,local
aquellos,celles
utilizando,à l'aide de
resultado,résultats
oficina,Bureau
educación,éducation
nacional,nationale
coche,auto
diseño,conception
llevar,prendre
al corriente,posté
Internet,l'Internet
Dirección,adresse
comunidad,communauté
dentro de,dans
estados,États
zona,Région
querer,vouloir
teléfono,téléphone
DVD,DVD
Envío,expédition
reservado,réservé
tema,matière
Entre,entre
foro,forum
familia,famille
l,l
largo,longue
basado,basé
w,à
código,code
show,spectacle
o,à
incluso,même
negro,le noir
cheque,Chèque
especial,spécial
precios,des prix
sitio web,site Internet
índice,indice
ser,étant
mujeres,femmes
mucho,beaucoup
firmar,signe
expediente,déposer
Enlace,relier
abierto,ouvert
hoy dia,aujourd'hui
tecnología,La technologie
Sur,Sud
caso,Cas
proyecto,projet
mismo,même
páginas,pages
Reino Unido,Royaume-Uni
versión,version
sección,section
propio,posséder
fundar,trouvé
Deportes,des sports
casa,loger
relacionado,en relation
seguridad,Sécurité
ambos,les deux
gramo,g
condado,comté
americano,américain
Foto,photo
juego,Jeu
miembros,membres
poder,Puissance
tiempo,tandis que
cuidado,se soucier
la red,réseau
abajo,vers le bas
computadora,ordinateur
sistemas,systèmes
Tres,Trois
total,le total
lugar,endroit
fin,finir
siguiente,Suivant
descargar,Télécharger
h,h
él,lui
sin,sans pour autant
por,par
acceso,accès
pensar,pense
norte,Nord
recursos,Ressources
Actual,courant
publicación,des postes
grande,gros
medios de comunicación,médias
ley,loi
control,contrôler
agua,l'eau
historia,l'histoire
imágenes,des photos
Talla,Taille
Arte,de l'art
personal,personnel
ya que,puisque
incluso,comprenant
guía,guider
tienda,magasin
directorio,annuaire
tablero,planche
localización,emplacement
cambio,monnaie
blanco,blanche
texto,texte
pequeña,petit
clasificación,évaluation
índice,taux
Gobierno,gouvernement
niños,enfants
durante,pendant
Estados Unidos,Etats-Unis
regreso,revenir
estudiantes,étudiants
v,v
compras,achats
cuenta,Compte
veces,fois
sitios,des sites
nivel,niveau
digital,numérique
perfil,profil
anterior,précédent
formulario,former
eventos,événements
amor,amour
viejo,vieille
John,John
principal,principale
llama,appel
horas,les heures
imagen,image
Departamento,département
título,Titre
descripción,la description
no,non
k,k
y,toi
seguro,Assurance
otro,un autre
por qué,Pourquoi
deberá,doit
propiedad,biens
clase,classer
CD,CD
todavía,toujours
dinero,de l'argent
calidad,qualité
cada,tous
listado,référencement
contenido,teneur
país,pays
privado,privé
poco,peu
visitar,visite
ahorrar,enregistrer
instrumentos,outils
bajo,meugler
respuesta,répondre
cliente,client
diciembre,décembre
comparar,comparer
películas,films
incluir,comprendre
Universidad,Université
valor,valeur
artículo,article
York,York
hombre,homme
tarjeta,carte
trabajos,travaux
proveer,apporter
j,j
comida,nourriture
fuente,la source
autor,auteur
diferente,différent
prensa,presse
usted,toi
aprender,apprendre
venta,vendre
alrededor,environ
impresión,imprimer
curso,cours
trabajo,travail
Canadá,Canada
proceso,traiter
adolescente,adolescent
habitación,pièce
existencias,Stock
capacitación,entraînement
también,trop
crédito,crédit
punto,point
entrar,rejoindre
Ciencias,science
hombres,Hommes
categorías,catégories
avanzado,Avancée
Oeste,Ouest
Ventas,Ventes
Mira,voir
inglés,Anglais
izquierda,la gauche
equipo,équipe
inmuebles,domaine
caja,boîte
condiciones,conditions
Seleccione,sélectionner
ventanas,les fenêtres
fotografías,Photos
gay,gay
hilo,fil
semana,la semaine
categoría,Catégorie
Nota,Remarque
En Vivo,habitent
grande,grand
galería,Galerie
mesa,table
Registrarse,S'inscrire
sin embargo,toutefois
junio,juin
octubre,octobre
noviembre,novembre
mercado,marché
Biblioteca,une bibliothèque
De Verdad,vraiment
acción,action
comienzo,début
serie,séries
modelo,maquette
características,caractéristiques
aire,air
industria,industrie
plan,plan
humano,Humain
previsto,à condition de
televisor,la télé
sí,Oui
requerido,obligatoire
segundo,seconde
caliente,chaud
accesorios,accessoires
costo,Coût
película,film
foros,forums
marcha,Mars
la,la
septiembre,septembre
mejor,meilleur
decir,dire
preguntas,des questions
julio,juillet
yahoo,yahoo
yendo,Aller
médico,médical
prueba,test
amigo,amie
venir,venir
dic,déc
servidor,serveur
ordenador personal,pc
estudio,étudier
solicitud,application
carro,Chariot
personal,Personnel
artículos,des articles
san,san
realimentación,retour d'information
de nuevo,de nouveau
juego,jouer
mirando,en regardant
cuestiones,problèmes
abril,avril
Nunca,jamais
usuarios,utilisateurs
completo,Achevée
calle,rue
tema,sujet
comentario,commenter
financiero,financier
cosas,des choses
laboral,travail
contra,contre
estándar,la norme
impuesto,impôt
persona,personne
debajo,au dessous de
móvil,mobile
menos,moins
tiene,eu
Blog,Blog
partido,fête
pago,Paiement
equipo,équipement
acceso,connexion
estudiante,étudiant
dejar,laisser
programas,programmes
ofertas,des offres
legal,légal
encima,dessus
reciente,récent
parque,se garer
historias,magasins
lado,côté
actuar,acte
problema,problème
rojo,rouge
dar,donner
memoria,Mémoire
rendimiento,performance
social,social
q,q
agosto,août
cita,citation
idioma,Langue
historia,histoire
vender,vendre
opciones,option
experiencia,vivre
tasas,les taux
crear,créer
llave,clé
cuerpo,corps
joven,Jeune
America,Amérique
importante,important
campo,champ
pocos,quelque
este,est
papel,papier
soltero,Célibataire
II,ii
la edad,âge
ocupaciones,Activités
club,club
ejemplo,Exemple
chicas,filles
adicional,Additionnel
contraseña,le mot de passe
z,z
más reciente,dernier
alguna cosa,quelque chose
la carretera,route
regalo,cadeau
pregunta,question
cambios,changements
noche,nuit
California,Californie
duro,dur
Texas,Texas
oct,oct
pagar,Payer
cuatro,quatre
póker,poker
estado,statut
navegar,Feuilleter
asunto,problème
distancia,gamme
edificio,imeuble
vendedor,vendeur
Corte,rechercher
febrero,février
siempre,toujours
resultado,résultat
audio,l'audio
luz,léger
escribir,écrivez
guerra,guerre
nov,nov
oferta,offre
azul,bleu
grupo,groupes
Alabama,Al
fácil,facile
dado,étant donné
archivos,des dossiers
evento,un événement
liberación,Libération
análisis,une analyse
solicitud,demander
fax,fax
porcelana,Chine
haciendo,fabrication
fotografía,photo
necesidades,Besoins
posible,possible
podría,force
profesional,professionnel
todavía,encore
mes,mois
importante,Majeur
estrella,Star
zonas,zones
futuro,futur
espacio,espacer
comité,Comité
mano,main
sol,soleil
tarjetas,cartes
problemas,problèmes
Londres,Londres
Washington,Washington
cita,Rencontre
rss,RSS
volverse,devenir
interesar,l'intérêt
identificación,identifiant
niño,enfant
guardar,garder
ingresar,Entrer
California,Californie
Cuota,partager
similar,similaire
jardín,jardin
escuelas,écoles
millón,million
adicional,ajoutée
referencia,référence
compañías,entreprises
listado,énumérés
bebé,bébé
aprendiendo,apprentissage
energía,énergie
correr,Cours
entrega,livraison
neto,rapporter
popular,populaire
término,terme
película,film
cuentos,histoires
poner,mettre
ordenadores,des ordinateurs
diario,journal
informes,rapports
co,co
tratar,essayer
Bienvenido,Bienvenue
central,central
imágenes,images
presidente,Président
aviso,avis
original,original
cabeza,diriger
radio,radio
Hasta que,jusqu'à
celda,cellule
color,Couleur
uno mismo,soi
Consejo,conseil
lejos,une façon
incluir,inclut
pista,Piste
Australia,Australie
discusión,discussion
archivo,archiver
una vez,une fois que
otros,autres
entretenimiento,divertissement
convenio,une entente
formato,format
menos,moins
sociedad,société
meses,mois
Iniciar sesión,Journal
la seguridad,sécurité
amigos,copains
seguro,Bien sur
Preguntas más frecuentes,FAQ
comercio,Commerce
edición,édition
carros,voitures
mensajes,messages
márketing,commercialisation
contar,raconter
más lejos,plus loin
actualizado,mis à jour
asociación,association
capaz,capable
teniendo,ayant
proporciona,fournit
David,David
divertida,amusant
ya,déjà
verde,vert
estudios,études
cerrar,proche
común,commun
conducir,conduire
específico,spécifique
varios,nombreuses
oro,or
feb,fév
viviendo,vie
sep,SEP
colección,collection
llamado,appelé
pequeño,court
letras,arts
lote,parcelle
pedir,interroger
monitor,affichage
limitado,limité
motorizado,alimenté
soluciones,solutions
medio,moyens
director,réalisateur
diario,du quotidien
playa,plage
pasado,passé
natural,Naturel
ya sea,qu'il s'agisse
vencer,dû
y,ET
electrónica,électronique
cinco,cinq
sobre,sur
período,période
planificación,Planification
base de datos,base de données
dice,dit
oficial,officiel
clima,conditions météorologiques
mar,Mar
tierra,terre
promedio,moyenne
hecho,terminé
técnico,technique
ventana,la fenêtre
Francia,La France
Pro,pro
región,Région
isla,île
registro,enregistrer
directo,direct
Microsoft,Microsoft
conferencia,conférence
medio ambiente,environnement
registros,record
S t,style
distrito,quartier
calendario,calendrier
costos,frais
estilo,style
url,URL
parte delantera,de face
declaración,déclaration
actualizar,mettre à jour
partes,les pièces
ago,août
siempre,déjà
descargas,téléchargements
temprano,de bonne heure
millas,miles
sonido,sonner
recurso,Ressource
regalo,présent
aplicaciones,applications
cualquiera,Soit
atrás,depuis
documento,document
palabra,mot
obras,travaux
material,Matériel
factura,facture
abr,avr
escrito,écrit
hablar,parlez
federal,fédéral
alojamiento,hébergement
normas,règles
final,final
adulto,adulte
Entradas,des billets
cosa,chose
centrar,centre
requisitos,conditions
vía,passant par
barato,pas cher
niños,des gamins
Finanzas,la finance
CIERTO,VRAI
minutos,minutes
demás,autre
Marcos,marque
tercera,troisième
Roca,Roche
regalos,cadeaux
Europa,L'Europe 
leyendo,en train de lire
temas,les sujets
malo,mauvais
individual,individuel
consejos,des astuces
más,plus
auto,auto
cubrir,couverture
generalmente,d'habitude
editar,Éditer
juntos,ensemble
videos,vidéos
por ciento,pour cent
rápido,vite
función,fonction
hecho,fait
unidad,unité
obtener,obtenir
global,global
técnico,technologie
encontrarse,rencontrer
lejos,loin
económico,économique
en,en
jugador,joueur
proyectos,projets
letra,paroles de chanson
a menudo,souvent
suscribir,s'abonner
enviar,nous faire parvenir
Alemania,Allemagne
Monto,montant
mirar,Regardez
incluido,inclus
sentir,ressentir
aunque,bien que
Banco,Banque
riesgo,risque
Gracias,Merci
todo,tout
ofertas,offres
varios,divers
palabras,mots
linux,linux
jul,juil
producción,production
comercial,commercial
Jaime,James
peso,poids
ciudad,ville
corazón,cœur
publicidad,La publicité
recibió,a reçu
escoger,choisir
tratamiento,traitement
Boletin informativo,bulletin
archivo,les archives
puntos,points
conocimiento,connaissance
revista,magazine
error,Erreur
cámara,caméra
jun,juin
muchacha,fille
en la actualidad,actuellement
construcción,construction
juguetes,jouets
registrado,inscrit
claro,dégager
golf,le golf
recibir,recevoir
dominio,domaine
métodos,méthodes
capítulo,chapitre
marcas,fait du
proteccion,protection
políticas,Stratégies
préstamo,prêter
amplio,large
belleza,beauté
gerente,directeur
India,Inde
posición,position
tomado,pris
clasificar,sorte
listados,Annonces
modelos,des modèles
Miguel,Michael
conocido,connu
mitad,demi
casos,cas
paso,étape
Ingenieria,ingénierie
Florida,Floride
sencillo,Facile
rápido,rapide
ninguno,rien
inalámbrico,sans fil
licencia,Licence
Pablo,Paul
viernes,vendredi
lago,lac
entero,entier
anual,annuel
publicado,publié
más tarde,plus tard
básico,de base
sony,Sony
demostraciones,spectacles
corporativo,d'entreprise
Google,Google
Iglesia,église
método,méthode
compra,achat
clientes,les clients
activo,actif
respuesta,réponse
práctica,s'entraîner
hardware,Matériel
figura,chiffre
materiales,matériaux
fuego,Feu
fiesta,vacance
chat,discuter
suficiente,assez
diseñado,conçu
a lo largo de,le long de
entre,parmi
muerte,décès
escribiendo,l'écriture
velocidad,la vitesse
html,html
países,des pays
pérdida,perte
cara,visage
marca,marque
descuento,réduction
más alto,plus haut
efectos,effets
creado,créé
recordar,rappelles toi
estándares,normes
petróleo,huile
poco,bit
amarillo,jaune
político,politique
incrementar,augmenter
anunciar,afficher
Reino,Royaume
base,base
cerca,à proximité
ambiental,environnemental
pensamiento,pensée
cosas,truc
francés,français
almacenamiento,espace de rangement
Oh,Oh
Japón,Japon
haciendo,Faire
préstamos,prêts
Zapatos,des chaussures
entrada,entrée
Quédate,rester
naturaleza,la nature
pedidos,ordres
disponibilidad,disponibilité
África,Afrique
resumen,sommaire
girar,tourner
significar,moyenne
crecimiento,croissance
notas,Remarques
agencia,agence
Rey,roi
lunes,Lundi
europeo,européen
actividad,activité
Copiar,copie
a pesar de que,même si
droga,médicament
fotos,photos
occidental,occidental
ingreso,le revenu
fuerza,Obliger
dinero en efectivo,espèces
empleo,emploi
en general,globalement
Bahía,la baie
río,fleuve
comisión,commission
anuncio,un d
paquete,emballer
contenido,Contenu
visto,vu
jugadores,joueurs
motor,moteur
Puerto,Port
álbum,album
regional,régional
parada,arrêter
suministros,Provisions
empezado,commencé
administración,administration
bar,bar
instituto,institut
puntos de vista,vues
planes,des plans
doble,double
perro,chien
construir,construire
pantalla,filtrer
intercambio,échanger
tipos,les types
pronto,bientôt
patrocinado,sponsorisé
líneas,lignes
electrónico,électronique
Seguir,Continuez
a través de,de l'autre côté
beneficios,avantages
necesario,nécessaire
temporada,saison
solicitar,appliquer
alguien,Quelqu'un
retenida,tenu
Nueva York,New York
cualquier cosa,n'importe quoi
impresora,imprimante
condición,état
eficaz,efficace
creer,croire
organización,organisation
efecto,effet
pedido,demandé
EUR,EUR
mente,dérange
domingo,dimanche
selección,sélection
casino,casino
pdf,pdf
perdió,perdu
excursión,visiter
menú,menu
volumen,le volume
Cruz,traverser
alguien,n'importe qui
hipoteca,hypothèque
esperar,espérer
plata,argent
corporación,société
deseo,souhaiter
dentro,à l'intérieur
solución,Solution
maduro,mature
papel,rôle
bastante,plutôt
semanas,semaines
adición,une addition
llegó,venu
suministro,la fourniture
nada,rien
cierto,certain
usr,usr
ejecutivo,exécutif
corriendo,fonctionnement
más bajo,inférieur
necesario,nécessaire
Unión,syndicat
joyas,bijoux
según,selon
corriente continua,dc
ropa,Vêtements
Lun,lun
com,com
especial,particulier
multa,amende
nombres,noms
robert,robert
página principal,page d'accueil
hora,heure
gas,gaz
habilidades,compétences
seis,six
arbusto,Buisson
islas,îles
Consejo,Conseil
carrera profesional,carrière
militar,militaire
alquiler,de location
decisión,décision
dejar,laisser
británico,Britanique
adolescentes,les adolescents
pre,pré
enorme,énorme
senté,Sam
mujer,femme
instalaciones,installations
Código Postal,Zip *: français
licitación,offre
amable,type
vendedores,les vendeurs
medio,milieu
moverse,mouvement
cable,câble
oportunidades,Opportunités
tomando,prise
valores,valeurs
división,division
próximo,à venir
martes,Mardi
objeto,objet
lésbico,lesbiennes
apropiado,approprié
máquina,machine
logo,logo
largo,longueur
Realmente,réellement
bonito,joli
puntaje,But
Estadísticas,statistiques
cliente,client
OK,d'accord
devoluciones,Retour
capital,Capitale
seguir,suivre
muestra,échantillon
inversión,investissement
enviado,envoyé
mostrado,montré
sábado,samedi
Navidad,Noël
Inglaterra,Angleterre
cultura,culture
banda,bande
destello,éclat
Sra,Mme
dirigir,mener
Jorge,George
elección,choix
fue,est allé
a partir de,départ
registro,enregistrement
Vie,ven
jueves,jeudi
cursos,cours
consumidor,consommateur
Hola,salut
aeropuerto,aéroport
extranjero,étranger
artista,artiste
fuera de,à l'extérieur
muebles,un meuble
niveles,niveaux
canal,canaliser
carta,lettre
modo,mode
Los telefonos,Téléphone (s
ideas,idées
miércoles,Mercredi
estructura,structure
fondo,fonds
verano,l'été
permitir,Autoriser
la licenciatura,degré
contrato,Contrat
botón,bouton
lanzamientos,libération
casarse,mer
casas,maisons
súper,super
masculino,Masculin
importar,question
personalizado,Douane
Virginia,Virginie
casi,presque
tomó,a pris
situado,situé
múltiple,plusieurs
asiático,asiatique
distribución,Distribution
editor,éditeur
Posada,auberge
industrial,industriel
porque,causer
potencial,potentiel
canción,chanson
cnet,cnet
limitado,ltd
el,los
hp,hp
atención,se concentrer
tarde,en retard
otoño,tomber
Destacados,En vedette
idea,idée
habitaciones,pièces
mujer,femelle
responsable,responsable
C ª,inciter
comunicaciones,communication
ganar,gagner
asociado,associée
Thomas,thomas
primario,primaire
cáncer,cancer
números,Nombres
razón,raison
herramienta,outil
navegador,navigateur
primavera,printemps
Fundación,fondation
respuesta,réponse
voz,voix
p.ej,par exemple
simpático,amical
calendario,calendrier
documentos,documents
comunicación,la communication
objetivo,but
característica,caractéristique
cama,lit
proviene,vient
policía,police
todo el mundo,toutes les personnes
independiente,indépendant
IP,ip
Acercarse,approcher
cámaras,appareils photo
marrón,brun
físico,physique
operando,en fonctionnement
Cerro,colline
mapas,Plans
medicamento,Médicament
trato,accord
sostener,prise
calificaciones,notes
chicago,Chicago
formas,formes
vidrio,un verre
contento,heureux
mar,Mar
Herrero,forgeron
deseado,voulait
desarrollado,développé
gracias,remercier
a salvo,en sécurité
único,unique
encuesta,enquête
previo,avant
teléfono,Téléphone
deporte,sport
Listo,prêt
alimentación,alimentation
animal,animal
fuentes,sources
México,Mexique
población,population
Pensilvania,Pennsylvanie
regular,ordinaire
seguro,sécurise
navegación,la navigation
operaciones,exploitation
por lo tanto,donc
simplemente,simplement
evidencia,preuve
estación,gare
cristiano,Christian
ronda,tour
paypal,Pay Pal
favorito,favori
comprender,comprendre
opción,option
Maestro,Maître
Valle,vallée
recientemente,récemment
probablemente,Probablement
Jue,jeu
alquileres,location
mar,mer
construido,construit
publicaciones,publication
sangre,du sang
Corte,couper
en todo el mundo,à l'échelle mondiale
mejorar,améliorer
conexión,lien
editor,éditeur
sala,salle
más grande,plus grand
anti,anti
redes,réseaux
tierra,Terre
padres,parents
Nokia,Nokia
impacto,impacter
transferir,transfert
Introducción,introduction
cocina,cuisine
fuerte,fort
Tel,tél
Carolina,caroline
boda,mariage
propiedades,Propriétés
hospital,hôpital
suelo,sol
visión de conjunto,Aperçu
Embarcacion,bateau
alojamiento,hébergement
dueños,les propriétaires
enfermedad,maladie
tx,tx
excelente,excellent
pagado,payé
Italia,Italie
Perfecto,parfait
cabello,Cheveu
oportunidad,opportunité
equipo,trousse
clásico,classique
base,base
mando,commander
ciudades,villes
William,William
Rápido,Express
otorgar,prix
distancia,distance
árbol,arbre
peter,pierre
evaluación,évaluation
garantizar,assurer
por lo tanto,Donc
pared,mur
es decir,c'est à dire
involucrado,impliqué
el,el
extra,supplémentaire
especialmente,surtout
interfaz,interface
socios,les partenaires
presupuesto,budget
calificado,noté
guías,guides
éxito,Succès
máximo,maximum
mamá,ma
operación,opération
existente,existant
bastante,assez
seleccionado,choisi
chico,garçon
Amazonas,amazone
pacientes,les patients
Restaurantes,Restaurants
hermosa,beau
advertencia,Attention
vino,vin
ubicaciones,Emplacements
caballo,cheval
votar,voter
hacia adelante,effronté
flores,fleurs
estrellas,étoiles
significativo,important
liza,listes
tecnologías,les technologies
dueño,propriétaire
venta minorista,vendre au détail
animales,animaux
útil,utile
directamente,directement
fabricante,fabricant
formas,façons
est,est
hijo,fils
Proporcionar,fournir
regla,régner
Mac,Mac
alojamiento,logement
acepta,prise
III,III
GMT,GMT
traer,apporter
catalogar,catalogue
búsquedas,recherches
max,max
difícil,en essayant
madre,mère
autoridad,autorité
considerado,pris en considération
dicho,Raconté
XML,xml
tráfico,circulation
programa,programme
Unido,rejoint
aporte,saisir
estrategia,stratégie
pies,pieds
agente,agent
válido,valide
compartimiento,poubelle
moderno,moderne
mayor,Sénior
Irlanda,Irlande
enseñando,enseignement
puerta,porte
grandioso,grandiose
pruebas,essai
prueba,essai
cargar,charger
unidades,unités
en lugar de,au lieu
canadiense,canadien
frio,frais
normal,Ordinaire
escribió,a écrit
empresa,entreprise
buques,navires
completo,tout
educativo,éducatif
Maryland,Maryland
principal,premier
metal,métal
positivo,positif
Florida,floc
aptitud física,aptitude
chino,Chinois
opinión,avis
megabyte,mb
Asia,Asie
fútbol americano,Football
abstracto,abstrait
usos,les usages
producción,sortir
fondos,fonds
señor,Monsieur
mayor que,plus grand
probable,probable
desarrollar,développer
empleados,des employés
artistas,artistes
alternativa,alternative
Procesando,En traitement
responsabilidad,responsabilité
resolución,résolution
Java,Java
huésped,invité
parece,semble
publicación,publication
aprobar,passe
relaciones,rapports
confianza,confiance
camioneta,van
contiene,contenir
sesión,session
multi,multi
fotografía,la photographie
república,république
Tarifa,frais
componentes,Composants
vacaciones,vacances
siglo,siècle
académico,académique
asistencia,assistance
terminado,complété
piel,peau
gráficos,graphique
indio,Indien
avance,prev
anuncios,les publicités
María,Marie
Illinois,il
esperado,attendu
anillo,anneau
calificación,classe
Fechado,sortir ensemble
Pacífico,pacifique
montaña,Montagne
organizaciones,organisations
música pop,pop
filtrar,filtre
envío,envoi postal
vehículo,véhicule
más extenso,plus long
considerar,envisager
En t,int
del Norte,nord
detrás,derrière
panel,panneau
suelo,sol
alemán,Allemand
comprar,achat
fósforo,rencontre
propuesto,proposé
defecto,défaut
exigir,exiger
Irak,Irak
Niños,garçons
exterior,Extérieur
profundo,Profond
Mañana,Matin
de lo contrario,autrement
permite,permet
descansar,du repos
proteína,protéine
planta,plante
informado,signalé
pegar,frappé
transporte,transport
mm,mm
piscina,bassin
mini,mini
política,politique
pareja,partenaire
Descargo de responsabilidad,clause de non-responsabilité
autores,auteurs
tableros,planches
facultad,la faculté
fiestas,des soirées
pez,poisson
afiliación,adhésion
misión,mission
ojo,œil
cuerda,chaîne de caractères
sentido,sens
modificado,modifié
paquete,pack
liberado,publié
escenario,organiser
interno,interne
bienes,des biens
recomendado,conseillé
Nació,née
a no ser que,sauf si
Ricardo,Richard
detallado,détaillé
japonés,Japonais
raza,course
aprobado,approuvé
antecedentes,Contexte
objetivo,cible
excepto,sauf
personaje,personnage
USB,USB
mantenimiento,maintenance
capacidad,capacité
quizás,peut être
funciones,les fonctions
ed,éd
Moviente,en mouvement
marcas,marques
lugares,des endroits
php,php
lindo,joli
marcas comerciales,marques de commerce
fentermina,phentermine
España,Espagne
del Sur,du sud
tú mismo,toi-même
etc.,etc
invierno,l'hiver
batería,batterie
juventud,jeunesse
presión,pression
enviado,soumis
bostón,Boston
deuda,dette
pendientes,mots clés
medio,moyen
televisión,télévision
interesado,intéressé
centro,coeur
rotura,Pause
propósitos,utilité
a lo largo de,tout au long de
conjuntos,fixe
danza,Danse
madera,bois
msn,msn
sí mismo,lui-même
definido,défini
documentos,papiers
jugando,en jouant
premios,récompenses
tarifa,frais
estudio,studio
lector,lecteur
virtual,virtuel
dispositivo,dispositif
establecido,établi
respuestas,réponses
alquilar,louer
las,Las
remoto,à distance
oscuro,foncé
programación,la programmation
externo,externe
manzana,Pomme
le,le
con respecto a,En ce qui concerne
instrucciones,instructions
minuto,min
Ofrecido,offert
teoría,théorie
disfrutar,prendre plaisir
retirar,supprimer
ayuda,aide
superficie,surface
mínimo,le minimum
visual,visuel
anfitrión,hôte
variedad,variété
maestros,enseignants
ISBN,isbn
martín,Martin
manual,Manuel
cuadra,bloquer
asignaturas,sujets
agentes,agents
aumentado,augmenté
reparar,réparation
justa,équitable
civil,civil
acero,acier
comprensión,entente
canciones,Chansons
reparado,fixé
incorrecto,tort
comienzo,début
manos,mains
asociados,associé
finalmente,finalement
Arizona,az
Actualizaciones,mises à jour
escritorio,bureau de bureau
clases,Des classes
París,Paris
Ohio,Ohio
obtiene,obtient
sector,secteur
capacidad,capacité
exigir,a besoin
jersey,Jersey
Naciones Unidas,ONU
grasa,gros
completamente,pleinement
padre,père
eléctrico,électrique
vio,vu
instrumentos,instruments
citas,devis
oficial,officier
conductor,conducteur
negocios,entreprises
muerto,morte
el respeto,le respect
desconocido,inconnu
especificado,spécifié
restaurante,restaurant
Miguel,Mike
viaje,voyage
PST,TVP
valer,valeur
mi,mi
procedimientos,procédures
pobre,pauvres
profesor,prof
ojos,les yeux
relación,relation amoureuse
trabajadores,ouvriers
granja,cultiver
Georgia,Géorgie
paz,paix
tradicional,traditionnel
instalaciones,Campus
Tomás,à M
demostración,montrant
creativo,Créatif
costa,côte
beneficio,bénéficier à
Progreso,le progrès
fondos,le financement
dispositivos,dispositifs
señor,Seigneur
conceder,accorder
sub,sous
de acuerdo,se mettre d'accord
ficción,fiction
escuchar,écouter
algunas veces,parfois
relojes,montres
carreras,carrières
más allá de,au-delà
va,se rend
familia,des familles
dirigió,LED
museo,musée
ellos mismos,eux-mêmes
admirador,ventilateur
transporte,transport
interesante,intéressant
blogs,blogs
esposa,épouse
evaluación,évaluation
aceptado,accepté
anterior,ancien
implementación,la mise en oeuvre
diez,Dix
golpes,les coups
zona,zone
complejo,complexe
th,e
gato,chat
galerías,galeries
referencias,les références
morir,mourir
presentado,présenté
Jacobo,jack
plano,appartement
fluir,couler
agencias,agences
literatura,Littérature
respectivo,respectif
padre,parent
Español,Espagnol
Michigan,Michigan
Columbia,Columbia
configuración,réglage
Dr,dr
escala,escalader
pararse,supporter
economía,économie
más alto,plus haut
servicial,utile
