French,English
facile,easy
étant donné,given
des dossiers,files
un événement,event
Libération,release
une analyse,analysis
demander,request
fax,fax
Chine,china
fabrication,making
photo,picture
Besoins,needs
possible,possible
force,might
professionnel,professional
encore,yet
mois,month
Majeur,major
Star,star
zones,areas
futur,future
espacer,space
Comité,committee
main,hand
soleil,sun
cartes,cards
problèmes,problems
Londres,london
Washington,washington
Rencontre,meeting
RSS,rss
devenir,become
l'intérêt,interest
identifiant,id
enfant,child
garder,keep
Entrer,enter
Californie,california
partager,share
similaire,similar
jardin,garden
écoles,schools
million,million
ajoutée,added
référence,reference
entreprises,companies
énumérés,listed
bébé,baby
apprentissage,learning
énergie,energy
Cours,run
livraison,delivery
rapporter,net
populaire,popular
terme,term
film,film
histoires,stories
mettre,put
des ordinateurs,computers
journal,journal
rapports,reports
co,co
essayer,try
Bienvenue,welcome
central,central
images,images
Président,president
avis,notice
original,original
diriger,head
radio,radio
jusqu'à,until
cellule,cell
Couleur,color
soi,self
conseil,council
une façon,away
inclut,includes
Piste,track
Australie,australia
discussion,discussion
archiver,archive
une fois que,once
autres,others
divertissement,entertainment
une entente,agreement
format,format
moins,least
société,society
mois,months
Journal,log
sécurité,safety
copains,friends
Bien sur,sure
FAQ,faq
Commerce,trade
édition,edition
voitures,cars
messages,messages
commercialisation,marketing
raconter,tell
plus loin,further
mis à jour,updated
association,association
capable,able
ayant,having
fournit,provides
David,david
amusant,fun
déjà,already
vert,green
études,studies
proche,close
commun,common
conduire,drive
spécifique,specific
nombreuses,several
or,gold
fév,feb
vie,living
SEP,sep
collection,collection
appelé,called
court,short
arts,arts
parcelle,lot
interroger,ask
affichage,display
limité,limited
alimenté,powered
solutions,solutions
moyens,means
réalisateur,director
du quotidien,daily
plage,beach
passé,past
Naturel,natural
qu'il s'agisse,whether
dû,due
ET,et
électronique,electronics
cinq,five
sur,upon
période,period
Planification,planning
base de données,database
dit,says
officiel,official
conditions météorologiques,weather
Mar,mar
terre,land
moyenne,average
terminé,done
technique,technical
la fenêtre,window
La France,france
pro,pro
Région,region
île,island
enregistrer,record
direct,direct
Microsoft,microsoft
conférence,conference
environnement,environment
record,records
style,st
quartier,district
calendrier,calendar
frais,costs
style,style
URL,url
de face,front
déclaration,statement
mettre à jour,update
les pièces,parts
août,aug
déjà,ever
téléchargements,downloads
de bonne heure,early
miles,miles
sonner,sound
Ressource,resource
présent,present
applications,applications
Soit,either
depuis,ago
document,document
mot,word
travaux,works
Matériel,material
facture,bill
avr,apr
écrit,written
parlez,talk
fédéral,federal
hébergement,hosting
règles,rules
final,final
adulte,adult
des billets,tickets
chose,thing
centre,centre
conditions,requirements
passant par,via
pas cher,cheap
des gamins,kids
la finance,finance
VRAI,TRUE
minutes,minutes
autre,else
marque,mark
troisième,third
Roche,rock
cadeaux,gifts
L'Europe ,europe
en train de lire,reading
les sujets,topics
mauvais,bad
individuel,individual
des astuces,tips
plus,plus
auto,auto
couverture,cover
d'habitude,usually
Éditer,edit
ensemble,together
vidéos,videos
pour cent,percent
vite,fast
fonction,function
fait,fact
unité,unit
obtenir,getting
global,global
technologie,tech
rencontrer,meet
loin,far
économique,economic
en,en
joueur,player
projets,projects
paroles de chanson,lyrics
souvent,often
s'abonner,subscribe
nous faire parvenir,submit
Allemagne,germany
montant,amount
Regardez,watch
inclus,included
ressentir,feel
bien que,though
Banque,bank
risque,risk
Merci,thanks
tout,everything
offres,deals
divers,various
mots,words
linux,linux
juil,jul
production,production
commercial,commercial
James,james
poids,weight
ville,town
cœur,heart
La publicité,advertising
a reçu,received
choisir,choose
traitement,treatment
bulletin,newsletter
les archives,archives
points,points
connaissance,knowledge
magazine,magazine
Erreur,error
caméra,camera
juin,jun
fille,girl
actuellement,currently
construction,construction
jouets,toys
inscrit,registered
dégager,clear
le golf,golf
recevoir,receive
domaine,domain
méthodes,methods
chapitre,chapter
fait du,makes
protection,protection
Stratégies,policies
prêter,loan
large,wide
beauté,beauty
directeur,manager
Inde,india
position,position
pris,taken
sorte,sort
Annonces,listings
des modèles,models
Michael,michael
connu,known
demi,half
cas,cases
étape,step
ingénierie,engineering
Floride,florida
Facile,simple
rapide,quick
rien,none
sans fil,wireless
Licence,license
Paul,paul
vendredi,friday
lac,lake
entier,whole
annuel,annual
publié,published
plus tard,later
de base,basic
Sony,sony
spectacles,shows
d'entreprise,corporate
Google,google
église,church
méthode,method
achat,purchase
les clients,customers
actif,active
réponse,response
s'entraîner,practice
Matériel,hardware
chiffre,figure
matériaux,materials
Feu,fire
vacance,holiday
discuter,chat
assez,enough
conçu,designed
le long de,along
parmi,among
décès,death
l'écriture,writing
la vitesse,speed
html,html
des pays,countries
perte,loss
visage,face
marque,brand
réduction,discount
plus haut,higher
effets,effects
créé,created
rappelles toi,remember
normes,standards
huile,oil
bit,bit
jaune,yellow
politique,political
augmenter,increase
afficher,advertise
Royaume,kingdom
base,base
à proximité,near
environnemental,environmental
pensée,thought
truc,stuff
français,french
espace de rangement,storage
Oh,oh
Japon,japan
Faire,doing
prêts,loans
des chaussures,shoes
entrée,entry
rester,stay
la nature,nature
ordres,orders
disponibilité,availability
Afrique,africa
sommaire,summary
tourner,turn
moyenne,mean
croissance,growth
Remarques,notes
agence,agency
roi,king
Lundi,monday
européen,european
activité,activity
copie,copy
même si,although
médicament,drug
photos,pics
occidental,western
le revenu,income
Obliger,force
espèces,cash
emploi,employment
globalement,overall
la baie,bay
fleuve,river
commission,commission
un d,ad
emballer,package
Contenu,contents
vu,seen
joueurs,players
moteur,engine
Port,port
album,album
régional,regional
arrêter,stop
Provisions,supplies
commencé,started
administration,administration
bar,bar
institut,institute
vues,views
des plans,plans
double,double
chien,dog
construire,build
filtrer,screen
échanger,exchange
les types,types
bientôt,soon
sponsorisé,sponsored
lignes,lines
électronique,electronic
Continuez,continue
de l'autre côté,across
avantages,benefits
nécessaire,needed
saison,season
appliquer,apply
Quelqu'un,someone
tenu,held
New York,ny
n'importe quoi,anything
imprimante,printer
état,condition
efficace,effective
croire,believe
organisation,organization
effet,effect
demandé,asked
EUR,eur
dérange,mind
dimanche,sunday
sélection,selection
casino,casino
pdf,pdf
perdu,lost
visiter,tour
menu,menu
le volume,volume
traverser,cross
n'importe qui,anyone
hypothèque,mortgage
espérer,hope
argent,silver
société,corporation
souhaiter,wish
à l'intérieur,inside
Solution,solution
mature,mature
rôle,role
plutôt,rather
semaines,weeks
une addition,addition
venu,came
la fourniture,supply
rien,nothing
certain,certain
usr,usr
exécutif,executive
fonctionnement,running
inférieur,lower
nécessaire,necessary
syndicat,union
bijoux,jewelry
selon,according
dc,dc
Vêtements,clothing
lun,mon
com,com
particulier,particular
amende,fine
noms,names
robert,robert
page d'accueil,homepage
heure,hour
gaz,gas
compétences,skills
six,six
Buisson,bush
îles,islands
Conseil,advice
carrière,career
militaire,military
de location,rental
décision,decision
laisser,leave
Britanique,british
les adolescents,teens
pré,pre
énorme,huge
Sam,sat
femme,woman
installations,facilities
Zip *: français,zip
offre,bid
type,kind
les vendeurs,sellers
milieu,middle
mouvement,move
câble,cable
Opportunités,opportunities
prise,taking
valeurs,values
division,division
à venir,coming
Mardi,tuesday
objet,object
lesbiennes,lesbian
approprié,appropriate
machine,machine
logo,logo
longueur,length
réellement,actually
joli,nice
But,score
statistiques,statistics
client,client
d'accord,ok
Retour,returns
Capitale,capital
suivre,follow
échantillon,sample
investissement,investment
envoyé,sent
montré,shown
samedi,saturday
Noël,christmas
Angleterre,england
culture,culture
bande,band
éclat,flash
Mme,ms
mener,lead
George,george
choix,choice
est allé,went
départ,starting
enregistrement,registration
ven,fri
jeudi,thursday
cours,courses
consommateur,consumer
salut,hi
aéroport,airport
étranger,foreign
artiste,artist
à l'extérieur,outside
un meuble,furniture
niveaux,levels
canaliser,channel
lettre,letter
mode,mode
Téléphone (s,phones
idées,ideas
Mercredi,wednesday
structure,structure
fonds,fund
l'été,summer
Autoriser,allow
degré,degree
Contrat,contract
bouton,button
libération,releases
mer,wed
maisons,homes
super,super
Masculin,male
question,matter
Douane,custom
Virginie,virginia
presque,almost
a pris,took
situé,located
plusieurs,multiple
asiatique,asian
Distribution,distribution
éditeur,editor
auberge,inn
industriel,industrial
causer,cause
potentiel,potential
chanson,song
cnet,cnet
ltd,ltd
los,los
hp,hp
se concentrer,focus
en retard,late
tomber,fall
En vedette,featured
idée,idea
pièces,rooms
femelle,female
responsable,responsible
inciter,inc
communication,communications
gagner,win
associée,associated
thomas,thomas
primaire,primary
cancer,cancer
Nombres,numbers
raison,reason
outil,tool
navigateur,browser
printemps,spring
fondation,foundation
réponse,answer
voix,voice
par exemple,eg
amical,friendly
calendrier,schedule
documents,documents
la communication,communication
but,purpose
caractéristique,feature
lit,bed
vient,comes
police,police
toutes les personnes,everyone
indépendant,independent
ip,ip
approcher,approach
appareils photo,cameras
brun,brown
physique,physical
en fonctionnement,operating
colline,hill
Plans,maps
Médicament,medicine
accord,deal
prise,hold
notes,ratings
Chicago,chicago
formes,forms
un verre,glass
heureux,happy
Mar,tue
forgeron,smith
voulait,wanted
développé,developed
remercier,thank
en sécurité,safe
unique,unique
enquête,survey
avant,prior
Téléphone,telephone
sport,sport
prêt,ready
alimentation,feed
animal,animal
sources,sources
Mexique,mexico
population,population
Pennsylvanie,pa
ordinaire,regular
sécurise,secure
la navigation,navigation
exploitation,operations
donc,therefore
simplement,simply
preuve,evidence
gare,station
Christian,christian
tour,round
Pay Pal,paypal
favori,favorite
comprendre,understand
option,option
Maître,master
vallée,valley
récemment,recently
Probablement,probably
jeu,thu
location,rentals
mer,sea
construit,built
publication,publications
du sang,blood
couper,cut
à l'échelle mondiale,worldwide
améliorer,improve
lien,connection
éditeur,publisher
salle,hall
plus grand,larger
anti,anti
réseaux,networks
Terre,earth
parents,parents
Nokia,nokia
impacter,impact
transfert,transfer
introduction,introduction
cuisine,kitchen
fort,strong
tél,tel
caroline,carolina
mariage,wedding
Propriétés,properties
hôpital,hospital
sol,ground
Aperçu,overview
bateau,ship
hébergement,accommodation
les propriétaires,owners
maladie,disease
tx,tx
excellent,excellent
payé,paid
Italie,italy
parfait,perfect
Cheveu,hair
opportunité,opportunity
trousse,kit
classique,classic
base,basis
commander,command
villes,cities
William,william
Express,express
prix,award
distance,distance
arbre,tree
pierre,peter
évaluation,assessment
assurer,ensure
Donc,thus
mur,wall
c'est à dire,ie
impliqué,involved
el,el
supplémentaire,extra
surtout,especially
interface,interface
les partenaires,partners
budget,budget
noté,rated
guides,guides
Succès,success
maximum,maximum
ma,ma
opération,operation
existant,existing
assez,quite
choisi,selected
garçon,boy
amazone,amazon
les patients,patients
Restaurants,restaurants
beau,beautiful
Attention,warning
vin,wine
Emplacements,locations
cheval,horse
voter,vote
effronté,forward
fleurs,flowers
étoiles,stars
important,significant
listes,lists
les technologies,technologies
propriétaire,owner
vendre au détail,retail
animaux,animals
utile,useful
directement,directly
fabricant,manufacturer
façons,ways
est,est
fils,son
fournir,providing
régner,rule
Mac,mac
logement,housing
prise,takes
III,iii
GMT,gmt
apporter,bring
catalogue,catalog
recherches,searches
max,max
en essayant,trying
mère,mother
autorité,authority
pris en considération,considered
Raconté,told
xml,xml
circulation,traffic
programme,programme
rejoint,joined
saisir,input
stratégie,strategy
pieds,feet
agent,agent
valide,valid
poubelle,bin
moderne,modern
Sénior,senior
Irlande,ireland
enseignement,teaching
porte,door
grandiose,grand
essai,testing
essai,trial
charger,charge
unités,units
au lieu,instead
canadien,canadian
frais,cool
Ordinaire,normal
a écrit,wrote
entreprise,enterprise
navires,ships
tout,entire
éducatif,educational
Maryland,md
premier,leading
métal,metal
positif,positive
floc,fl
aptitude,fitness
Chinois,chinese
avis,opinion
mb,mb
Asie,asia
Football,football
abstrait,abstract
les usages,uses
sortir,output
fonds,funds
Monsieur,mr
plus grand,greater
probable,likely
développer,develop
des employés,employees
artistes,artists
alternative,alternative
En traitement,processing
responsabilité,responsibility
résolution,resolution
Java,java
invité,guest
semble,seems
publication,publication
passe,pass
rapports,relations
confiance,trust
van,van
contenir,contains
session,session
multi,multi
la photographie,photography
république,republic
frais,fees
Composants,components
vacances,vacation
siècle,century
académique,academic
assistance,assistance
complété,completed
peau,skin
graphique,graphics
Indien,indian
prev,prev
les publicités,ads
Marie,mary
il,il
attendu,expected
anneau,ring
classe,grade
sortir ensemble,dating
pacifique,pacific
Montagne,mountain
organisations,organizations
pop,pop
filtre,filter
envoi postal,mailing
véhicule,vehicle
plus long,longer
envisager,consider
int,int
nord,northern
derrière,behind
panneau,panel
sol,floor
Allemand,german
achat,buying
rencontre,match
proposé,proposed
défaut,default
exiger,require
Irak,iraq
garçons,boys
Extérieur,outdoor
Profond,deep
Matin,morning
autrement,otherwise
permet,allows
du repos,rest
protéine,protein
plante,plant
signalé,reported
frappé,hit
transport,transportation
mm,mm
bassin,pool
mini,mini
politique,politics
partenaire,partner
clause de non-responsabilité,disclaimer
auteurs,authors
planches,boards
la faculté,faculty
des soirées,parties
poisson,fish
adhésion,membership
mission,mission
œil,eye
chaîne de caractères,string
sens,sense
modifié,modified
pack,pack
publié,released
organiser,stage
interne,internal
des biens,goods
conseillé,recommended
née,born
sauf si,unless
Richard,richard
détaillé,detailed
Japonais,japanese
course,race
approuvé,approved
Contexte,background
cible,target
sauf,except
personnage,character
USB,usb
maintenance,maintenance
capacité,ability
peut être,maybe
les fonctions,functions
éd,ed
en mouvement,moving
marques,brands
des endroits,places
php,php
joli,pretty
marques de commerce,trademarks
phentermine,phentermine
Espagne,spain
du sud,southern
toi-même,yourself
etc,etc
l'hiver,winter
batterie,battery
jeunesse,youth
pression,pressure
soumis,submitted
Boston,boston
dette,debt
mots clés,keywords
moyen,medium
télévision,television
intéressé,interested
coeur,core
Pause,break
utilité,purposes
tout au long de,throughout
fixe,sets
Danse,dance
bois,wood
msn,msn
lui-même,itself
défini,defined
papiers,papers
en jouant,playing
récompenses,awards
frais,fee
studio,studio
lecteur,reader
virtuel,virtual
dispositif,device
établi,established
réponses,answers
louer,rent
Las,las
à distance,remote
foncé,dark
la programmation,programming
externe,external
Pomme,apple
le,le
En ce qui concerne,regarding
instructions,instructions
min,min
offert,offered
théorie,theory
prendre plaisir,enjoy
supprimer,remove
aide,aid
surface,surface
le minimum,minimum
visuel,visual
hôte,host
variété,variety
enseignants,teachers
isbn,isbn
Martin,martin
Manuel,manual
bloquer,block
sujets,subjects
agents,agents
augmenté,increased
réparation,repair
équitable,fair
civil,civil
acier,steel
entente,understanding
Chansons,songs
fixé,fixed
tort,wrong
début,beginning
mains,hands
associé,associates
finalement,finally
az,az
mises à jour,updates
bureau de bureau,desktop
Des classes,classes
Paris,paris
Ohio,ohio
obtient,gets
secteur,sector
capacité,capacity
a besoin,requires
Jersey,jersey
ONU,un
gros,fat
pleinement,fully
père,father
électrique,electric
vu,saw
instruments,instruments
devis,quotes
officier,officer
conducteur,driver
entreprises,businesses
morte,dead
le respect,respect
inconnu,unknown
spécifié,specified
restaurant,restaurant
Mike,mike
voyage,trip
TVP,pst
valeur,worth
mi,mi
procédures,procedures
pauvres,poor
prof,teacher
les yeux,eyes
relation amoureuse,relationship
ouvriers,workers
cultiver,farm
Géorgie,georgia
paix,peace
traditionnel,traditional
Campus,campus
à M,tom
montrant,showing
Créatif,creative
côte,coast
bénéficier à,benefit
le progrès,progress
le financement,funding
dispositifs,devices
Seigneur,lord
accorder,grant
sous,sub
se mettre d'accord,agree
fiction,fiction
écouter,hear
parfois,sometimes
montres,watches
carrières,careers
au-delà,beyond
se rend,goes
des familles,families
LED,led
musée,museum
eux-mêmes,themselves
ventilateur,fan
transport,transport
intéressant,interesting
blogs,blogs
épouse,wife
évaluation,evaluation
accepté,accepted
ancien,former
la mise en oeuvre,implementation
Dix,ten
les coups,hits
zone,zone
complexe,complex
e,th
chat,cat
galeries,galleries
les références,references
mourir,die
présenté,presented
jack,jack
appartement,flat
couler,flow
agences,agencies
Littérature,literature
respectif,respective
parent,parent
Espagnol,spanish
Michigan,michigan
Columbia,columbia
réglage,setting
dr,dr
escalader,scale
supporter,stand
économie,economy
plus haut,highest
utile,helpful
mensuel,monthly
critique,critical
Cadre,frame
musical,musical
définition,definition
secrétaire,secretary
Angeles,angeles
la mise en réseau,networking
chemin,path
australien,australian
employé,employee
chef,chief
donne,gives
kb,kb
bas,bottom
les magazines,magazines
paquets,packages
détail,detail
francisco,francisco
lois,laws
modifié,changed
animaux,pet
entendu,heard
commencer,begin
personnes,individuals
Colorado,colorado
Royal,royal
nettoyer,clean
changer,switch
russe,russian
plus grand,largest
africain,african
mec,guy
titres,titles
pertinent,relevant
des lignes directrices,guidelines
Justice,justice
relier,connect
Bible,bible
faire devenir,dev
tasse,cup
corbeille,basket
appliqué,applied
hebdomadaire,weekly
vol,vol
installation,installation
décrit,described
demande,demand
pp,pp
suite,suite
vegas,vegas
n / A,na
carré,square
chris,chris
attention,attention
avance,advance
sauter,skip
diète,diet
armée,army
enchères,auction
équipement,gear
lee,lee
système d'exploitation,os
différence,difference
autorisé,allowed
correct,correct
Charles,charles
nation,nation
vente,selling
lot,lots
pièce,piece
feuille,sheet
solidifier,firm
Sept,seven
plus âgée,older
Illinois,illinois
règlements,regulations
éléments,elements
espèce,species
saut,jump
cellules,cells
module,module
recours,resort
établissement,facility
Aléatoire,random
tarification,pricing
DVD,dvds
certificat,certificate
ministre,minister
mouvement,motion
regards,looks
mode,fashion
directions,directions
visiteurs,visitors
Documentation,documentation
surveiller,monitor
commerce,trading
forêt,forest
appels,calls
dont,whose
couverture,coverage
coupler,couple
donnant,giving
chance,chance
vision,vision
Balle,ball
fin,ending
clients,clients
Actions,actions
Ecoutez,listen
discuter,discuss
J'accepte,accept
automobile,automotive
nu,naked
but,goal
à succès,successful
vendu,sold
vent,wind
communautés,communities
clinique,clinical
situation,situation
les sciences,sciences
marchés,markets
le plus bas,lowest
très,highly
édition,publishing
apparaître,appear
urgence,emergency
développement,developing
des vies,lives
devise,currency
cuir,leather
déterminer,determine
Température,temperature
paume,palm
annonces,announcements
patient,patient
réel,actual
historique,historical
calcul,stone
bob,bob
Commerce,commerce
sonneries,ringtones
peut-être,perhaps
personnes,persons
difficile,difficult
scientifique,scientific
Satellite,satellite
ajuster,fit
tests,tests
village,village
comptes,accounts
amateur,amateur
ex,ex
rencontré,met
la douleur,pain
Xbox,xbox
particulièrement,particularly
les facteurs,factors
café,coffee
www www,www
Les paramètres,settings
acheteur,buyer
culturel,cultural
Steve,steve
facilement,easily
oral,oral
gué,ford
affiche,poster
bord,edge
fonctionnel,functional
racine,root
autant,au
Fi,fi
fermé,closed
vacances,holidays
la glace,ice
rose,pink
Zélande,zealand
équilibre,balance
surveillance,monitoring
diplômé,graduate
réponses,replies
tirer,shot
NC,nc
architecture,architecture
initiale,initial
étiqueter,label
pensée,thinking
scott,scott
llc,llc
seconde,sec
recommander,recommend
canon,canon
ligue,league
déchets,waste
minute,minute
autobus,bus
fournisseur,provider
optionnel,optional
dictionnaire,dictionary
froid,cold
comptabilité,accounting
fabrication,manufacturing
sections,sections
chaise,chair
faire de la pêche,fishing
effort,effort
phase,phase
des champs,fields
sac,bag
fantaisie,fantasy
pochette,po
des lettres,letters
moteur,motor
Virginie,va
professeur,professor
le contexte,context
installer,install
la chemise,shirt
vêtements,apparel
généralement,generally
a continué,continued
pied,foot
Masse,mass
la criminalité,crime
compter,count
Sein,breast
techniques,techniques
ibm,ibm
rd,rd
Johnson,johnson
SC,sc
vite,quickly
dollars,dollars
sites Internet,websites
religion,religion
Réclamer,claim
conduite,driving
autorisation,permission
opération,surgery
pièce,patch
Chauffer,heat
sauvage,wild
les mesures,measures
génération,generation
Kansas,kansas
Mademoiselle,miss
chimique,chemical
médecin,doctor
tâche,task
réduire,reduce
amené,brought
lui-même,himself
ni,nor
composant,component
permettre,enable
exercer,exercise
bogue,bug
Père Noël,santa
milieu,mid
garantie,guarantee
leader,leader
diamant,diamond
Israël,israel
soi,se
procédés,processes
"mou, tendre",soft
les serveurs,servers
seul,alone
réunions,meetings
secondes,seconds
Jones,jones
Arizona,arizona
mot-clé,keyword
intérêts,interests
voyage en avion,flight
congrès,congress
carburant,fuel
Nom d'utilisateur,username
marche,walk
produit,produced
italien,italian
livre de poche,paperback
petites annonces,classifieds
attendre,wait
prise en charge,supported
poche,pocket
Saint,saint
Rose,rose
liberté,freedom
argument,argument
concurrence,competition
création,creating
jim,jim
médicaments,drugs
découper,joint
