English,French
money,de l'argent
quality,qualité
every,tous
listing,référencement
content,teneur
country,pays
private,privé
little,peu
visit,visite
save,enregistrer
tools,outils
low,meugler
reply,répondre
customer,client
december,décembre
compare,comparer
movies,films
include,comprendre
college,Université
value,valeur
article,article
york,York
man,homme
card,carte
jobs,travaux
provide,apporter
j,j
food,nourriture
source,la source
author,auteur
different,différent
press,presse
u,toi
learn,apprendre
sale,vendre
around,environ
print,imprimer
course,cours
job,travail
canada,Canada
process,traiter
teen,adolescent
room,pièce
stock,Stock
training,entraînement
too,trop
credit,crédit
point,point
join,rejoindre
science,science
men,Hommes
categories,catégories
advanced,Avancée
west,Ouest
sales,Ventes
look,voir
english,Anglais
left,la gauche
team,équipe
estate,domaine
box,boîte
conditions,conditions
select,sélectionner
windows,les fenêtres
photos,Photos
gay,gay
thread,fil
week,la semaine
category,Catégorie
note,Remarque
live,habitent
large,grand
gallery,Galerie
table,table
register,S'inscrire
however,toutefois
june,juin
october,octobre
november,novembre
market,marché
library,une bibliothèque
really,vraiment
action,action
start,début
series,séries
model,maquette
features,caractéristiques
air,air
industry,industrie
plan,plan
human,Humain
provided,à condition de
tv,la télé
yes,Oui
required,obligatoire
second,seconde
hot,chaud
accessories,accessoires
cost,Coût
movie,film
forums,forums
march,Mars
la,la
september,septembre
better,meilleur
say,dire
questions,des questions
july,juillet
yahoo,yahoo
going,Aller
medical,médical
test,test
friend,amie
come,venir
dec,déc
server,serveur
pc,pc
study,étudier
application,application
cart,Chariot
staff,Personnel
articles,des articles
san,san
feedback,retour d'information
again,de nouveau
play,jouer
looking,en regardant
issues,problèmes
april,avril
never,jamais
users,utilisateurs
complete,Achevée
street,rue
topic,sujet
comment,commenter
financial,financier
things,des choses
working,travail
against,contre
standard,la norme
tax,impôt
person,personne
below,au dessous de
mobile,mobile
less,moins
got,eu
blog,Blog
party,fête
payment,Paiement
equipment,équipement
login,connexion
student,étudiant
let,laisser
programs,programmes
offers,des offres
legal,légal
above,dessus
recent,récent
park,se garer
stores,magasins
side,côté
act,acte
problem,problème
red,rouge
give,donner
memory,Mémoire
performance,performance
social,social
q,q
august,août
quote,citation
language,Langue
story,histoire
sell,vendre
options,option
experience,vivre
rates,les taux
create,créer
key,clé
body,corps
young,Jeune
america,Amérique
important,important
field,champ
few,quelque
east,est
paper,papier
single,Célibataire
ii,ii
age,âge
activities,Activités
club,club
example,Exemple
girls,filles
additional,Additionnel
password,le mot de passe
z,z
latest,dernier
something,quelque chose
road,route
gift,cadeau
question,question
changes,changements
night,nuit
ca,Californie
hard,dur
texas,Texas
oct,oct
pay,Payer
four,quatre
poker,poker
status,statut
browse,Feuilleter
issue,problème
range,gamme
building,imeuble
seller,vendeur
court,rechercher
february,février
always,toujours
result,résultat
audio,l'audio
light,léger
write,écrivez
war,guerre
nov,nov
offer,offre
blue,bleu
groups,groupes
al,Al
easy,facile
given,étant donné
files,des dossiers
event,un événement
release,Libération
analysis,une analyse
request,demander
fax,fax
china,Chine
making,fabrication
picture,photo
needs,Besoins
possible,possible
might,force
professional,professionnel
yet,encore
month,mois
major,Majeur
star,Star
areas,zones
future,futur
space,espacer
committee,Comité
hand,main
sun,soleil
cards,cartes
problems,problèmes
london,Londres
washington,Washington
meeting,Rencontre
rss,RSS
become,devenir
interest,l'intérêt
id,identifiant
child,enfant
keep,garder
enter,Entrer
california,Californie
share,partager
similar,similaire
garden,jardin
schools,écoles
million,million
added,ajoutée
reference,référence
companies,entreprises
listed,énumérés
baby,bébé
learning,apprentissage
energy,énergie
run,Cours
delivery,livraison
net,rapporter
popular,populaire
term,terme
film,film
stories,histoires
put,mettre
computers,des ordinateurs
journal,journal
reports,rapports
co,co
try,essayer
welcome,Bienvenue
central,central
images,images
president,Président
notice,avis
original,original
head,diriger
radio,radio
until,jusqu'à
cell,cellule
color,Couleur
self,soi
council,conseil
away,une façon
includes,inclut
track,Piste
australia,Australie
discussion,discussion
archive,archiver
once,une fois que
others,autres
entertainment,divertissement
agreement,une entente
format,format
least,moins
society,société
months,mois
log,Journal
safety,sécurité
friends,copains
sure,Bien sur
faq,FAQ
trade,Commerce
edition,édition
cars,voitures
messages,messages
marketing,commercialisation
tell,raconter
further,plus loin
updated,mis à jour
association,association
able,capable
having,ayant
provides,fournit
david,David
fun,amusant
already,déjà
green,vert
studies,études
close,proche
common,commun
drive,conduire
specific,spécifique
several,nombreuses
gold,or
feb,fév
living,vie
sep,SEP
collection,collection
called,appelé
short,court
arts,arts
lot,parcelle
ask,interroger
display,affichage
limited,limité
powered,alimenté
solutions,solutions
means,moyens
director,réalisateur
daily,du quotidien
beach,plage
past,passé
natural,Naturel
whether,qu'il s'agisse
due,dû
et,ET
electronics,électronique
five,cinq
upon,sur
period,période
planning,Planification
database,base de données
says,dit
official,officiel
weather,conditions météorologiques
mar,Mar
land,terre
average,moyenne
done,terminé
technical,technique
window,la fenêtre
france,La France
pro,pro
region,Région
island,île
record,enregistrer
direct,direct
microsoft,Microsoft
conference,conférence
environment,environnement
records,record
st,style
district,quartier
calendar,calendrier
costs,frais
style,style
url,URL
front,de face
statement,déclaration
update,mettre à jour
parts,les pièces
aug,août
ever,déjà
downloads,téléchargements
early,de bonne heure
miles,miles
sound,sonner
resource,Ressource
present,présent
applications,applications
either,Soit
ago,depuis
document,document
word,mot
works,travaux
material,Matériel
bill,facture
apr,avr
written,écrit
talk,parlez
federal,fédéral
hosting,hébergement
rules,règles
final,final
adult,adulte
tickets,des billets
thing,chose
centre,centre
requirements,conditions
via,passant par
cheap,pas cher
kids,des gamins
finance,la finance
TRUE,VRAI
minutes,minutes
else,autre
mark,marque
third,troisième
rock,Roche
gifts,cadeaux
europe,L'Europe 
reading,en train de lire
topics,les sujets
bad,mauvais
individual,individuel
tips,des astuces
plus,plus
auto,auto
cover,couverture
usually,d'habitude
edit,Éditer
together,ensemble
videos,vidéos
percent,pour cent
fast,vite
function,fonction
fact,fait
unit,unité
getting,obtenir
global,global
tech,technologie
meet,rencontrer
far,loin
economic,économique
en,en
player,joueur
projects,projets
lyrics,paroles de chanson
often,souvent
subscribe,s'abonner
submit,nous faire parvenir
germany,Allemagne
amount,montant
watch,Regardez
included,inclus
feel,ressentir
though,bien que
bank,Banque
risk,risque
thanks,Merci
everything,tout
deals,offres
various,divers
words,mots
linux,linux
jul,juil
production,production
commercial,commercial
james,James
weight,poids
town,ville
heart,cœur
advertising,La publicité
received,a reçu
choose,choisir
treatment,traitement
newsletter,bulletin
archives,les archives
points,points
knowledge,connaissance
magazine,magazine
error,Erreur
camera,caméra
jun,juin
girl,fille
currently,actuellement
construction,construction
toys,jouets
registered,inscrit
clear,dégager
golf,le golf
receive,recevoir
domain,domaine
methods,méthodes
chapter,chapitre
makes,fait du
protection,protection
policies,Stratégies
loan,prêter
wide,large
beauty,beauté
manager,directeur
india,Inde
position,position
taken,pris
sort,sorte
listings,Annonces
models,des modèles
michael,Michael
known,connu
half,demi
cases,cas
step,étape
engineering,ingénierie
florida,Floride
simple,Facile
quick,rapide
none,rien
wireless,sans fil
license,Licence
paul,Paul
friday,vendredi
lake,lac
whole,entier
annual,annuel
published,publié
later,plus tard
basic,de base
sony,Sony
shows,spectacles
corporate,d'entreprise
google,Google
church,église
method,méthode
purchase,achat
customers,les clients
active,actif
response,réponse
practice,s'entraîner
hardware,Matériel
figure,chiffre
materials,matériaux
fire,Feu
holiday,vacance
chat,discuter
enough,assez
designed,conçu
along,le long de
among,parmi
death,décès
writing,l'écriture
speed,la vitesse
html,html
countries,des pays
loss,perte
face,visage
brand,marque
discount,réduction
higher,plus haut
effects,effets
created,créé
remember,rappelles toi
standards,normes
oil,huile
bit,bit
yellow,jaune
political,politique
increase,augmenter
advertise,afficher
kingdom,Royaume
base,base
near,à proximité
environmental,environnemental
thought,pensée
stuff,truc
french,français
storage,espace de rangement
oh,Oh
japan,Japon
doing,Faire
loans,prêts
shoes,des chaussures
entry,entrée
stay,rester
nature,la nature
orders,ordres
availability,disponibilité
africa,Afrique
summary,sommaire
turn,tourner
mean,moyenne
growth,croissance
notes,Remarques
agency,agence
king,roi
monday,Lundi
european,européen
activity,activité
copy,copie
although,même si
drug,médicament
pics,photos
western,occidental
income,le revenu
force,Obliger
cash,espèces
employment,emploi
overall,globalement
bay,la baie
river,fleuve
commission,commission
ad,un d
package,emballer
contents,Contenu
seen,vu
players,joueurs
engine,moteur
port,Port
album,album
regional,régional
stop,arrêter
supplies,Provisions
started,commencé
administration,administration
bar,bar
institute,institut
views,vues
plans,des plans
double,double
dog,chien
build,construire
screen,filtrer
exchange,échanger
types,les types
soon,bientôt
sponsored,sponsorisé
lines,lignes
electronic,électronique
continue,Continuez
across,de l'autre côté
benefits,avantages
needed,nécessaire
season,saison
apply,appliquer
someone,Quelqu'un
held,tenu
ny,New York
anything,n'importe quoi
printer,imprimante
condition,état
effective,efficace
believe,croire
organization,organisation
effect,effet
asked,demandé
eur,EUR
mind,dérange
sunday,dimanche
selection,sélection
casino,casino
pdf,pdf
lost,perdu
tour,visiter
menu,menu
volume,le volume
cross,traverser
anyone,n'importe qui
mortgage,hypothèque
hope,espérer
silver,argent
corporation,société
wish,souhaiter
inside,à l'intérieur
solution,Solution
mature,mature
role,rôle
rather,plutôt
weeks,semaines
addition,une addition
came,venu
supply,la fourniture
nothing,rien
certain,certain
usr,usr
executive,exécutif
running,fonctionnement
lower,inférieur
necessary,nécessaire
union,syndicat
jewelry,bijoux
according,selon
dc,dc
clothing,Vêtements
mon,lun
com,com
particular,particulier
fine,amende
names,noms
robert,robert
homepage,page d'accueil
hour,heure
gas,gaz
skills,compétences
six,six
bush,Buisson
islands,îles
advice,Conseil
career,carrière
military,militaire
rental,de location
decision,décision
leave,laisser
british,Britanique
teens,les adolescents
pre,pré
huge,énorme
sat,Sam
woman,femme
facilities,installations
zip,Zip *: français
bid,offre
kind,type
sellers,les vendeurs
middle,milieu
move,mouvement
cable,câble
opportunities,Opportunités
taking,prise
values,valeurs
division,division
coming,à venir
tuesday,Mardi
object,objet
lesbian,lesbiennes
appropriate,approprié
machine,machine
logo,logo
length,longueur
actually,réellement
nice,joli
score,But
statistics,statistiques
client,client
ok,d'accord
returns,Retour
capital,Capitale
follow,suivre
sample,échantillon
investment,investissement
sent,envoyé
shown,montré
saturday,samedi
christmas,Noël
england,Angleterre
culture,culture
band,bande
flash,éclat
ms,Mme
lead,mener
george,George
choice,choix
went,est allé
starting,départ
registration,enregistrement
fri,ven
thursday,jeudi
courses,cours
consumer,consommateur
hi,salut
airport,aéroport
foreign,étranger
artist,artiste
outside,à l'extérieur
furniture,un meuble
levels,niveaux
channel,canaliser
letter,lettre
mode,mode
phones,Téléphone (s
ideas,idées
wednesday,Mercredi
structure,structure
fund,fonds
summer,l'été
allow,Autoriser
degree,degré
contract,Contrat
button,bouton
releases,libération
wed,mer
homes,maisons
super,super
male,Masculin
matter,question
custom,Douane
virginia,Virginie
almost,presque
took,a pris
located,situé
multiple,plusieurs
asian,asiatique
distribution,Distribution
editor,éditeur
inn,auberge
industrial,industriel
cause,causer
potential,potentiel
song,chanson
cnet,cnet
ltd,ltd
los,los
hp,hp
focus,se concentrer
late,en retard
fall,tomber
featured,En vedette
idea,idée
rooms,pièces
female,femelle
responsible,responsable
inc,inciter
communications,communication
win,gagner
associated,associée
thomas,thomas
primary,primaire
cancer,cancer
numbers,Nombres
reason,raison
tool,outil
browser,navigateur
spring,printemps
foundation,fondation
answer,réponse
voice,voix
eg,par exemple
friendly,amical
schedule,calendrier
documents,documents
communication,la communication
purpose,but
feature,caractéristique
bed,lit
comes,vient
police,police
everyone,toutes les personnes
independent,indépendant
ip,ip
approach,approcher
cameras,appareils photo
brown,brun
physical,physique
operating,en fonctionnement
hill,colline
maps,Plans
medicine,Médicament
deal,accord
hold,prise
ratings,notes
chicago,Chicago
forms,formes
glass,un verre
happy,heureux
tue,Mar
smith,forgeron
wanted,voulait
developed,développé
thank,remercier
safe,en sécurité
unique,unique
survey,enquête
prior,avant
telephone,Téléphone
sport,sport
ready,prêt
feed,alimentation
animal,animal
sources,sources
mexico,Mexique
population,population
pa,Pennsylvanie
regular,ordinaire
secure,sécurise
navigation,la navigation
operations,exploitation
therefore,donc
simply,simplement
evidence,preuve
station,gare
christian,Christian
round,tour
paypal,Pay Pal
favorite,favori
understand,comprendre
option,option
master,Maître
valley,vallée
recently,récemment
probably,Probablement
thu,jeu
rentals,location
sea,mer
built,construit
publications,publication
blood,du sang
cut,couper
worldwide,à l'échelle mondiale
improve,améliorer
connection,lien
publisher,éditeur
hall,salle
larger,plus grand
anti,anti
networks,réseaux
earth,Terre
parents,parents
nokia,Nokia
impact,impacter
transfer,transfert
introduction,introduction
kitchen,cuisine
strong,fort
tel,tél
carolina,caroline
wedding,mariage
properties,Propriétés
hospital,hôpital
ground,sol
overview,Aperçu
ship,bateau
accommodation,hébergement
owners,les propriétaires
disease,maladie
tx,tx
excellent,excellent
paid,payé
italy,Italie
perfect,parfait
hair,Cheveu
opportunity,opportunité
kit,trousse
classic,classique
basis,base
command,commander
cities,villes
william,William
express,Express
award,prix
distance,distance
tree,arbre
peter,pierre
assessment,évaluation
ensure,assurer
thus,Donc
wall,mur
ie,c'est à dire
involved,impliqué
el,el
extra,supplémentaire
especially,surtout
interface,interface
partners,les partenaires
budget,budget
rated,noté
guides,guides
success,Succès
maximum,maximum
ma,ma
operation,opération
existing,existant
quite,assez
selected,choisi
boy,garçon
amazon,amazone
patients,les patients
restaurants,Restaurants
beautiful,beau
warning,Attention
wine,vin
locations,Emplacements
horse,cheval
vote,voter
forward,effronté
flowers,fleurs
stars,étoiles
significant,important
lists,listes
technologies,les technologies
owner,propriétaire
retail,vendre au détail
animals,animaux
useful,utile
directly,directement
manufacturer,fabricant
ways,façons
est,est
son,fils
providing,fournir
rule,régner
mac,Mac
housing,logement
takes,prise
iii,III
gmt,GMT
bring,apporter
catalog,catalogue
searches,recherches
max,max
trying,en essayant
mother,mère
authority,autorité
considered,pris en considération
told,Raconté
xml,xml
traffic,circulation
programme,programme
joined,rejoint
input,saisir
strategy,stratégie
feet,pieds
agent,agent
valid,valide
bin,poubelle
modern,moderne
senior,Sénior
ireland,Irlande
teaching,enseignement
door,porte
grand,grandiose
testing,essai
trial,essai
charge,charger
units,unités
instead,au lieu
canadian,canadien
cool,frais
normal,Ordinaire
wrote,a écrit
enterprise,entreprise
ships,navires
entire,tout
educational,éducatif
md,Maryland
leading,premier
metal,métal
positive,positif
fl,floc
fitness,aptitude
chinese,Chinois
opinion,avis
mb,mb
asia,Asie
football,Football
abstract,abstrait
uses,les usages
output,sortir
funds,fonds
mr,Monsieur
greater,plus grand
likely,probable
develop,développer
employees,des employés
artists,artistes
alternative,alternative
processing,En traitement
responsibility,responsabilité
resolution,résolution
java,Java
guest,invité
seems,semble
publication,publication
pass,passe
relations,rapports
trust,confiance
van,van
contains,contenir
session,session
multi,multi
photography,la photographie
republic,république
fees,frais
components,Composants
vacation,vacances
century,siècle
academic,académique
assistance,assistance
completed,complété
skin,peau
graphics,graphique
indian,Indien
prev,prev
ads,les publicités
mary,Marie
il,il
expected,attendu
ring,anneau
grade,classe
dating,sortir ensemble
pacific,pacifique
mountain,Montagne
organizations,organisations
pop,pop
filter,filtre
mailing,envoi postal
vehicle,véhicule
longer,plus long
consider,envisager
int,int
northern,nord
behind,derrière
panel,panneau
floor,sol
german,Allemand
buying,achat
match,rencontre
proposed,proposé
default,défaut
require,exiger
iraq,Irak
boys,garçons
outdoor,Extérieur
deep,Profond
morning,Matin
otherwise,autrement
allows,permet
rest,du repos
protein,protéine
plant,plante
reported,signalé
hit,frappé
transportation,transport
mm,mm
pool,bassin
mini,mini
politics,politique
partner,partenaire
disclaimer,clause de non-responsabilité
authors,auteurs
boards,planches
faculty,la faculté
parties,des soirées
fish,poisson
membership,adhésion
mission,mission
eye,œil
string,chaîne de caractères
sense,sens
modified,modifié
pack,pack
released,publié
stage,organiser
internal,interne
goods,des biens
recommended,conseillé
born,née
unless,sauf si
richard,Richard
detailed,détaillé
japanese,Japonais
race,course
approved,approuvé
background,Contexte
target,cible
except,sauf
character,personnage
usb,USB
maintenance,maintenance
ability,capacité
maybe,peut être
functions,les fonctions
ed,éd
moving,en mouvement
brands,marques
places,des endroits
php,php
pretty,joli
trademarks,marques de commerce
phentermine,phentermine
spain,Espagne
southern,du sud
yourself,toi-même
etc,etc
winter,l'hiver
battery,batterie
youth,jeunesse
pressure,pression
submitted,soumis
boston,Boston
debt,dette
keywords,mots clés
medium,moyen
television,télévision
interested,intéressé
core,coeur
break,Pause
purposes,utilité
throughout,tout au long de
sets,fixe
dance,Danse
wood,bois
msn,msn
itself,lui-même
defined,défini
papers,papiers
playing,en jouant
awards,récompenses
fee,frais
studio,studio
reader,lecteur
virtual,virtuel
device,dispositif
established,établi
answers,réponses
rent,louer
las,Las
remote,à distance
dark,foncé
programming,la programmation
external,externe
apple,Pomme
le,le
regarding,En ce qui concerne
instructions,instructions
min,min
offered,offert
theory,théorie
enjoy,prendre plaisir
remove,supprimer
aid,aide
surface,surface
minimum,le minimum
visual,visuel
host,hôte
variety,variété
teachers,enseignants
isbn,isbn
martin,Martin
manual,Manuel
block,bloquer
subjects,sujets
agents,agents
increased,augmenté
repair,réparation
fair,équitable
civil,civil
steel,acier
understanding,entente
songs,Chansons
fixed,fixé
wrong,tort
beginning,début
hands,mains
associates,associé
finally,finalement
az,az
updates,mises à jour
desktop,bureau de bureau
classes,Des classes
paris,Paris
ohio,Ohio
gets,obtient
sector,secteur
capacity,capacité
requires,a besoin
jersey,Jersey
un,ONU
fat,gros
fully,pleinement
father,père
electric,électrique
saw,vu
instruments,instruments
quotes,devis
officer,officier
driver,conducteur
businesses,entreprises
dead,morte
respect,le respect
unknown,inconnu
specified,spécifié
restaurant,restaurant
mike,Mike
trip,voyage
pst,TVP
worth,valeur
mi,mi
procedures,procédures
poor,pauvres
teacher,prof
eyes,les yeux
relationship,relation amoureuse
workers,ouvriers
farm,cultiver
georgia,Géorgie
peace,paix
traditional,traditionnel
campus,Campus
tom,à M
showing,montrant
creative,Créatif
coast,côte
benefit,bénéficier à
progress,le progrès
funding,le financement
devices,dispositifs
lord,Seigneur
grant,accorder
sub,sous
agree,se mettre d'accord
fiction,fiction
hear,écouter
sometimes,parfois
watches,montres
careers,carrières
beyond,au-delà
goes,se rend
families,des familles
led,LED
museum,musée
themselves,eux-mêmes
fan,ventilateur
transport,transport
interesting,intéressant
blogs,blogs
wife,épouse
evaluation,évaluation
accepted,accepté
former,ancien
implementation,la mise en oeuvre
ten,Dix
hits,les coups
zone,zone
complex,complexe
th,e
cat,chat
galleries,galeries
references,les références
die,mourir
presented,présenté
jack,jack
flat,appartement
flow,couler
agencies,agences
literature,Littérature
respective,respectif
parent,parent
spanish,Espagnol
michigan,Michigan
columbia,Columbia
setting,réglage
dr,dr
scale,escalader
stand,supporter
economy,économie
highest,plus haut
helpful,utile
monthly,mensuel
critical,critique
frame,Cadre
musical,musical
definition,définition
secretary,secrétaire
angeles,Angeles
networking,la mise en réseau
path,chemin
australian,australien
employee,employé
chief,chef
gives,donne
kb,kb
bottom,bas
magazines,les magazines
packages,paquets
detail,détail
francisco,francisco
laws,lois
changed,modifié
pet,animaux
heard,entendu
begin,commencer
individuals,personnes
colorado,Colorado
royal,Royal
clean,nettoyer
switch,changer
russian,russe
largest,plus grand
african,africain
guy,mec
titles,titres
relevant,pertinent
guidelines,des lignes directrices
justice,Justice
connect,relier
bible,Bible
dev,faire devenir
cup,tasse
basket,corbeille
applied,appliqué
weekly,hebdomadaire
vol,vol
installation,installation
described,décrit
demand,demande
pp,pp
suite,suite
vegas,vegas
na,n / A
square,carré
chris,chris
attention,attention
advance,avance
skip,sauter
diet,diète
army,armée
auction,enchères
gear,équipement
lee,lee
os,système d'exploitation
difference,différence
allowed,autorisé
correct,correct
charles,Charles
nation,nation
selling,vente
lots,lot
piece,pièce
sheet,feuille
firm,solidifier
seven,Sept
older,plus âgée
illinois,Illinois
regulations,règlements
elements,éléments
species,espèce
jump,saut
cells,cellules
module,module
resort,recours
facility,établissement
random,Aléatoire
pricing,tarification
dvds,DVD
certificate,certificat
minister,ministre
motion,mouvement
looks,regards
fashion,mode
directions,directions
visitors,visiteurs
documentation,Documentation
monitor,surveiller
trading,commerce
forest,forêt
calls,appels
whose,dont
coverage,couverture
couple,coupler
giving,donnant
chance,chance
vision,vision
ball,Balle
ending,fin
clients,clients
actions,Actions
listen,Ecoutez
discuss,discuter
accept,J'accepte
automotive,automobile
naked,nu
goal,but
successful,à succès
sold,vendu
wind,vent
communities,communautés
clinical,clinique
situation,situation
sciences,les sciences
markets,marchés
lowest,le plus bas
highly,très
publishing,édition
appear,apparaître
emergency,urgence
developing,développement
lives,des vies
currency,devise
leather,cuir
determine,déterminer
temperature,Température
palm,paume
announcements,annonces
patient,patient
actual,réel
historical,historique
stone,calcul
bob,bob
commerce,Commerce
ringtones,sonneries
perhaps,peut-être
persons,personnes
difficult,difficile
scientific,scientifique
satellite,Satellite
fit,ajuster
tests,tests
village,village
accounts,comptes
amateur,amateur
ex,ex
met,rencontré
pain,la douleur
xbox,Xbox
particularly,particulièrement
factors,les facteurs
coffee,café
www,www www
settings,Les paramètres
buyer,acheteur
cultural,culturel
steve,Steve
easily,facilement
oral,oral
ford,gué
poster,affiche
edge,bord
functional,fonctionnel
root,racine
au,autant
fi,Fi
closed,fermé
holidays,vacances
ice,la glace
pink,rose
zealand,Zélande
balance,équilibre
monitoring,surveillance
graduate,diplômé
replies,réponses
shot,tirer
nc,NC
architecture,architecture
initial,initiale
label,étiqueter
thinking,pensée
scott,scott
llc,llc
sec,seconde
recommend,recommander
canon,canon
league,ligue
waste,déchets
minute,minute
bus,autobus
provider,fournisseur
optional,optionnel
dictionary,dictionnaire
cold,froid
accounting,comptabilité
manufacturing,fabrication
sections,sections
chair,chaise
fishing,faire de la pêche
effort,effort
phase,phase
fields,des champs
bag,sac
fantasy,fantaisie
po,pochette
letters,des lettres
motor,moteur
va,Virginie
professor,professeur
context,le contexte
install,installer
shirt,la chemise
apparel,vêtements
generally,généralement
continued,a continué
foot,pied
mass,Masse
crime,la criminalité
count,compter
breast,Sein
techniques,techniques
ibm,ibm
rd,rd
johnson,Johnson
sc,SC
quickly,vite
dollars,dollars
websites,sites Internet
religion,religion
claim,Réclamer
driving,conduite
permission,autorisation
surgery,opération
patch,pièce
heat,Chauffer
wild,sauvage
measures,les mesures
generation,génération
kansas,Kansas
miss,Mademoiselle
chemical,chimique
doctor,médecin
task,tâche
reduce,réduire
brought,amené
himself,lui-même
nor,ni
component,composant
enable,permettre
exercise,exercer
bug,bogue
santa,Père Noël
mid,milieu
guarantee,garantie
leader,leader
diamond,diamant
israel,Israël
se,soi
processes,procédés
soft,"mou, tendre"
servers,les serveurs
alone,seul
meetings,réunions
seconds,secondes
jones,Jones
arizona,Arizona
keyword,mot-clé
interests,intérêts
flight,voyage en avion
congress,congrès
fuel,carburant
username,Nom d'utilisateur
walk,marche
produced,produit
italian,italien
paperback,livre de poche
classifieds,petites annonces
wait,attendre
supported,prise en charge
pocket,poche
saint,Saint
rose,Rose
freedom,liberté
argument,argument
competition,concurrence
creating,création
jim,jim
drugs,médicaments
joint,découper
