French,Spanish
Jeu,juego
membres,miembros
Puissance,poder
tandis que,tiempo
se soucier,cuidado
réseau,la red
vers le bas,abajo
ordinateur,computadora
systèmes,sistemas
Trois,Tres
le total,total
endroit,lugar
finir,fin
Suivant,siguiente
Télécharger,descargar
h,h
lui,él
sans pour autant,sin
par,por
accès,acceso
pense,pensar
Nord,norte
Ressources,recursos
courant,Actual
des postes,publicación
gros,grande
médias,medios de comunicación
loi,ley
contrôler,control
l'eau,agua
l'histoire,historia
des photos,imágenes
Taille,Talla
de l'art,Arte
personnel,personal
puisque,ya que
comprenant,incluso
guider,guía
magasin,tienda
annuaire,directorio
planche,tablero
emplacement,localización
monnaie,cambio
blanche,blanco
texte,texto
petit,pequeña
évaluation,clasificación
taux,índice
gouvernement,Gobierno
enfants,niños
pendant,durante
Etats-Unis,Estados Unidos
revenir,regreso
étudiants,estudiantes
v,v
achats,compras
Compte,cuenta
fois,veces
des sites,sitios
niveau,nivel
numérique,digital
profil,perfil
précédent,anterior
former,formulario
événements,eventos
amour,amor
vieille,viejo
John,John
principale,principal
appel,llama
les heures,horas
image,imagen
département,Departamento
Titre,título
la description,descripción
non,no
k,k
toi,y
Assurance,seguro
un autre,otro
Pourquoi,por qué
doit,deberá
biens,propiedad
classer,clase
CD,CD
toujours,todavía
de l'argent,dinero
qualité,calidad
tous,cada
référencement,listado
teneur,contenido
pays,país
privé,privado
peu,poco
visite,visitar
enregistrer,ahorrar
outils,instrumentos
meugler,bajo
répondre,respuesta
client,cliente
décembre,diciembre
comparer,comparar
films,películas
comprendre,incluir
Université,Universidad
valeur,valor
article,artículo
York,York
homme,hombre
carte,tarjeta
travaux,trabajos
apporter,proveer
j,j
nourriture,comida
la source,fuente
auteur,autor
différent,diferente
presse,prensa
toi,usted
apprendre,aprender
vendre,venta
environ,alrededor
imprimer,impresión
cours,curso
travail,trabajo
Canada,Canadá
traiter,proceso
adolescent,adolescente
pièce,habitación
Stock,existencias
entraînement,capacitación
trop,también
crédit,crédito
point,punto
rejoindre,entrar
science,Ciencias
Hommes,hombres
catégories,categorías
Avancée,avanzado
Ouest,Oeste
Ventes,Ventas
voir,Mira
Anglais,inglés
la gauche,izquierda
équipe,equipo
domaine,inmuebles
boîte,caja
conditions,condiciones
sélectionner,Seleccione
les fenêtres,ventanas
Photos,fotografías
gay,gay
fil,hilo
la semaine,semana
Catégorie,categoría
Remarque,Nota
habitent,En Vivo
grand,grande
Galerie,galería
table,mesa
S'inscrire,Registrarse
toutefois,sin embargo
juin,junio
octobre,octubre
novembre,noviembre
marché,mercado
une bibliothèque,Biblioteca
vraiment,De Verdad
action,acción
début,comienzo
séries,serie
maquette,modelo
caractéristiques,características
air,aire
industrie,industria
plan,plan
Humain,humano
à condition de,previsto
la télé,televisor
Oui,sí
obligatoire,requerido
seconde,segundo
chaud,caliente
accessoires,accesorios
Coût,costo
film,película
forums,foros
Mars,marcha
la,la
septembre,septiembre
meilleur,mejor
dire,decir
des questions,preguntas
juillet,julio
yahoo,yahoo
Aller,yendo
médical,médico
test,prueba
amie,amigo
venir,venir
déc,dic
serveur,servidor
pc,ordenador personal
étudier,estudio
application,solicitud
Chariot,carro
Personnel,personal
des articles,artículos
san,san
retour d'information,realimentación
de nouveau,de nuevo
jouer,juego
en regardant,mirando
problèmes,cuestiones
avril,abril
jamais,Nunca
utilisateurs,usuarios
Achevée,completo
rue,calle
sujet,tema
commenter,comentario
financier,financiero
des choses,cosas
travail,laboral
contre,contra
la norme,estándar
impôt,impuesto
personne,persona
au dessous de,debajo
mobile,móvil
moins,menos
eu,tiene
Blog,Blog
fête,partido
Paiement,pago
équipement,equipo
connexion,acceso
étudiant,estudiante
laisser,dejar
programmes,programas
des offres,ofertas
légal,legal
dessus,encima
récent,reciente
se garer,parque
magasins,historias
côté,lado
acte,actuar
problème,problema
rouge,rojo
donner,dar
Mémoire,memoria
performance,rendimiento
social,social
q,q
août,agosto
citation,cita
Langue,idioma
histoire,historia
vendre,vender
option,opciones
vivre,experiencia
les taux,tasas
créer,crear
clé,llave
corps,cuerpo
Jeune,joven
Amérique,America
important,importante
champ,campo
quelque,pocos
est,este
papier,papel
Célibataire,soltero
ii,II
âge,la edad
Activités,ocupaciones
club,club
Exemple,ejemplo
filles,chicas
Additionnel,adicional
le mot de passe,contraseña
z,z
dernier,más reciente
quelque chose,alguna cosa
route,la carretera
cadeau,regalo
question,pregunta
changements,cambios
nuit,noche
Californie,California
dur,duro
Texas,Texas
oct,oct
Payer,pagar
quatre,cuatro
poker,póker
statut,estado
Feuilleter,navegar
problème,asunto
gamme,distancia
imeuble,edificio
vendeur,vendedor
rechercher,Corte
février,febrero
toujours,siempre
résultat,resultado
l'audio,audio
léger,luz
écrivez,escribir
guerre,guerra
nov,nov
offre,oferta
bleu,azul
groupes,grupo
Al,Alabama
facile,fácil
étant donné,dado
des dossiers,archivos
un événement,evento
Libération,liberación
une analyse,análisis
demander,solicitud
fax,fax
Chine,porcelana
fabrication,haciendo
photo,fotografía
Besoins,necesidades
possible,posible
force,podría
professionnel,profesional
encore,todavía
mois,mes
Majeur,importante
Star,estrella
zones,zonas
futur,futuro
espacer,espacio
Comité,comité
main,mano
soleil,sol
cartes,tarjetas
problèmes,problemas
Londres,Londres
Washington,Washington
Rencontre,cita
RSS,rss
devenir,volverse
l'intérêt,interesar
identifiant,identificación
enfant,niño
garder,guardar
Entrer,ingresar
Californie,California
partager,Cuota
similaire,similar
jardin,jardín
écoles,escuelas
million,millón
ajoutée,adicional
référence,referencia
entreprises,compañías
énumérés,listado
bébé,bebé
apprentissage,aprendiendo
énergie,energía
Cours,correr
livraison,entrega
rapporter,neto
populaire,popular
terme,término
film,película
histoires,cuentos
mettre,poner
des ordinateurs,ordenadores
journal,diario
rapports,informes
co,co
essayer,tratar
Bienvenue,Bienvenido
central,central
images,imágenes
Président,presidente
avis,aviso
original,original
diriger,cabeza
radio,radio
jusqu'à,Hasta que
cellule,celda
Couleur,color
soi,uno mismo
conseil,Consejo
une façon,lejos
inclut,incluir
Piste,pista
Australie,Australia
discussion,discusión
archiver,archivo
une fois que,una vez
autres,otros
divertissement,entretenimiento
une entente,convenio
format,formato
moins,menos
société,sociedad
mois,meses
Journal,Iniciar sesión
sécurité,la seguridad
copains,amigos
Bien sur,seguro
FAQ,Preguntas más frecuentes
Commerce,comercio
édition,edición
voitures,carros
messages,mensajes
commercialisation,márketing
raconter,contar
plus loin,más lejos
mis à jour,actualizado
association,asociación
capable,capaz
ayant,teniendo
fournit,proporciona
David,David
amusant,divertida
déjà,ya
vert,verde
études,estudios
proche,cerrar
commun,común
conduire,conducir
spécifique,específico
nombreuses,varios
or,oro
fév,feb
vie,viviendo
SEP,sep
collection,colección
appelé,llamado
court,pequeño
arts,letras
parcelle,lote
interroger,pedir
affichage,monitor
limité,limitado
alimenté,motorizado
solutions,soluciones
moyens,medio
réalisateur,director
du quotidien,diario
plage,playa
passé,pasado
Naturel,natural
qu'il s'agisse,ya sea
dû,vencer
ET,y
électronique,electrónica
cinq,cinco
sur,sobre
période,período
Planification,planificación
base de données,base de datos
dit,dice
officiel,oficial
conditions météorologiques,clima
Mar,mar
terre,tierra
moyenne,promedio
terminé,hecho
technique,técnico
la fenêtre,ventana
La France,Francia
pro,Pro
Région,región
île,isla
enregistrer,registro
direct,directo
Microsoft,Microsoft
conférence,conferencia
environnement,medio ambiente
record,registros
style,S t
quartier,distrito
calendrier,calendario
frais,costos
style,estilo
URL,url
de face,parte delantera
déclaration,declaración
mettre à jour,actualizar
les pièces,partes
août,ago
déjà,siempre
téléchargements,descargas
de bonne heure,temprano
miles,millas
sonner,sonido
Ressource,recurso
présent,regalo
applications,aplicaciones
Soit,cualquiera
depuis,atrás
document,documento
mot,palabra
travaux,obras
Matériel,material
facture,factura
avr,abr
écrit,escrito
parlez,hablar
fédéral,federal
hébergement,alojamiento
règles,normas
final,final
adulte,adulto
des billets,Entradas
chose,cosa
centre,centrar
conditions,requisitos
passant par,vía
pas cher,barato
des gamins,niños
la finance,Finanzas
VRAI,CIERTO
minutes,minutos
autre,demás
marque,Marcos
troisième,tercera
Roche,Roca
cadeaux,regalos
L'Europe ,Europa
en train de lire,leyendo
les sujets,temas
mauvais,malo
individuel,individual
des astuces,consejos
plus,más
auto,auto
couverture,cubrir
d'habitude,generalmente
Éditer,editar
ensemble,juntos
vidéos,videos
pour cent,por ciento
vite,rápido
fonction,función
fait,hecho
unité,unidad
obtenir,obtener
global,global
technologie,técnico
rencontrer,encontrarse
loin,lejos
économique,económico
en,en
joueur,jugador
projets,proyectos
paroles de chanson,letra
souvent,a menudo
s'abonner,suscribir
nous faire parvenir,enviar
Allemagne,Alemania
montant,Monto
Regardez,mirar
inclus,incluido
ressentir,sentir
bien que,aunque
Banque,Banco
risque,riesgo
Merci,Gracias
tout,todo
offres,ofertas
divers,varios
mots,palabras
linux,linux
juil,jul
production,producción
commercial,comercial
James,Jaime
poids,peso
ville,ciudad
cœur,corazón
La publicité,publicidad
a reçu,recibió
choisir,escoger
traitement,tratamiento
bulletin,Boletin informativo
les archives,archivo
points,puntos
connaissance,conocimiento
magazine,revista
Erreur,error
caméra,cámara
juin,jun
fille,muchacha
actuellement,en la actualidad
construction,construcción
jouets,juguetes
inscrit,registrado
dégager,claro
le golf,golf
recevoir,recibir
domaine,dominio
méthodes,métodos
chapitre,capítulo
fait du,marcas
protection,proteccion
Stratégies,políticas
prêter,préstamo
large,amplio
beauté,belleza
directeur,gerente
Inde,India
position,posición
pris,tomado
sorte,clasificar
Annonces,listados
des modèles,modelos
Michael,Miguel
connu,conocido
demi,mitad
cas,casos
étape,paso
ingénierie,Ingenieria
Floride,Florida
Facile,sencillo
rapide,rápido
rien,ninguno
sans fil,inalámbrico
Licence,licencia
Paul,Pablo
vendredi,viernes
lac,lago
entier,entero
annuel,anual
publié,publicado
plus tard,más tarde
de base,básico
Sony,sony
spectacles,demostraciones
d'entreprise,corporativo
Google,Google
église,Iglesia
méthode,método
achat,compra
les clients,clientes
actif,activo
réponse,respuesta
s'entraîner,práctica
Matériel,hardware
chiffre,figura
matériaux,materiales
Feu,fuego
vacance,fiesta
discuter,chat
assez,suficiente
conçu,diseñado
le long de,a lo largo de
parmi,entre
décès,muerte
l'écriture,escribiendo
la vitesse,velocidad
html,html
des pays,países
perte,pérdida
visage,cara
marque,marca
réduction,descuento
plus haut,más alto
effets,efectos
créé,creado
rappelles toi,recordar
normes,estándares
huile,petróleo
bit,poco
jaune,amarillo
politique,político
augmenter,incrementar
afficher,anunciar
Royaume,Reino
base,base
à proximité,cerca
environnemental,ambiental
pensée,pensamiento
truc,cosas
français,francés
espace de rangement,almacenamiento
Oh,Oh
Japon,Japón
Faire,haciendo
prêts,préstamos
des chaussures,Zapatos
entrée,entrada
rester,Quédate
la nature,naturaleza
ordres,pedidos
disponibilité,disponibilidad
Afrique,África
sommaire,resumen
tourner,girar
moyenne,significar
croissance,crecimiento
Remarques,notas
agence,agencia
roi,Rey
Lundi,lunes
européen,europeo
activité,actividad
copie,Copiar
même si,a pesar de que
médicament,droga
photos,fotos
occidental,occidental
le revenu,ingreso
Obliger,fuerza
espèces,dinero en efectivo
emploi,empleo
globalement,en general
la baie,Bahía
fleuve,río
commission,comisión
un d,anuncio
emballer,paquete
Contenu,contenido
vu,visto
joueurs,jugadores
moteur,motor
Port,Puerto
album,álbum
régional,regional
arrêter,parada
Provisions,suministros
commencé,empezado
administration,administración
bar,bar
institut,instituto
vues,puntos de vista
des plans,planes
double,doble
chien,perro
construire,construir
filtrer,pantalla
échanger,intercambio
les types,tipos
bientôt,pronto
sponsorisé,patrocinado
lignes,líneas
électronique,electrónico
Continuez,Seguir
de l'autre côté,a través de
avantages,beneficios
nécessaire,necesario
saison,temporada
appliquer,solicitar
Quelqu'un,alguien
tenu,retenida
New York,Nueva York
n'importe quoi,cualquier cosa
imprimante,impresora
état,condición
efficace,eficaz
croire,creer
organisation,organización
effet,efecto
demandé,pedido
EUR,EUR
dérange,mente
dimanche,domingo
sélection,selección
casino,casino
pdf,pdf
perdu,perdió
visiter,excursión
menu,menú
le volume,volumen
traverser,Cruz
n'importe qui,alguien
hypothèque,hipoteca
espérer,esperar
argent,plata
société,corporación
souhaiter,deseo
à l'intérieur,dentro
Solution,solución
mature,maduro
rôle,papel
plutôt,bastante
semaines,semanas
une addition,adición
venu,llegó
la fourniture,suministro
rien,nada
certain,cierto
usr,usr
exécutif,ejecutivo
fonctionnement,corriendo
inférieur,más bajo
nécessaire,necesario
syndicat,Unión
bijoux,joyas
selon,según
dc,corriente continua
Vêtements,ropa
lun,Lun
com,com
particulier,especial
amende,multa
noms,nombres
robert,robert
page d'accueil,página principal
heure,hora
gaz,gas
compétences,habilidades
six,seis
Buisson,arbusto
îles,islas
Conseil,Consejo
carrière,carrera profesional
militaire,militar
de location,alquiler
décision,decisión
laisser,dejar
Britanique,británico
les adolescents,adolescentes
pré,pre
énorme,enorme
Sam,senté
femme,mujer
installations,instalaciones
Zip *: français,Código Postal
offre,licitación
type,amable
les vendeurs,vendedores
milieu,medio
mouvement,moverse
câble,cable
Opportunités,oportunidades
prise,tomando
valeurs,valores
division,división
à venir,próximo
Mardi,martes
objet,objeto
lesbiennes,lésbico
approprié,apropiado
machine,máquina
logo,logo
longueur,largo
réellement,Realmente
joli,bonito
But,puntaje
statistiques,Estadísticas
client,cliente
d'accord,OK
Retour,devoluciones
Capitale,capital
suivre,seguir
échantillon,muestra
investissement,inversión
envoyé,enviado
montré,mostrado
samedi,sábado
Noël,Navidad
Angleterre,Inglaterra
culture,cultura
bande,banda
éclat,destello
Mme,Sra
mener,dirigir
George,Jorge
choix,elección
est allé,fue
départ,a partir de
enregistrement,registro
ven,Vie
jeudi,jueves
cours,cursos
consommateur,consumidor
salut,Hola
aéroport,aeropuerto
étranger,extranjero
artiste,artista
à l'extérieur,fuera de
un meuble,muebles
niveaux,niveles
canaliser,canal
lettre,carta
mode,modo
Téléphone (s,Los telefonos
idées,ideas
Mercredi,miércoles
structure,estructura
fonds,fondo
l'été,verano
Autoriser,permitir
degré,la licenciatura
Contrat,contrato
bouton,botón
libération,lanzamientos
mer,casarse
maisons,casas
super,súper
Masculin,masculino
question,importar
Douane,personalizado
Virginie,Virginia
presque,casi
a pris,tomó
situé,situado
plusieurs,múltiple
asiatique,asiático
Distribution,distribución
éditeur,editor
auberge,Posada
industriel,industrial
causer,porque
potentiel,potencial
chanson,canción
cnet,cnet
ltd,limitado
los,el
hp,hp
se concentrer,atención
en retard,tarde
tomber,otoño
En vedette,Destacados
idée,idea
pièces,habitaciones
femelle,mujer
responsable,responsable
inciter,C ª
communication,comunicaciones
gagner,ganar
associée,asociado
thomas,Thomas
primaire,primario
cancer,cáncer
Nombres,números
raison,razón
outil,herramienta
navigateur,navegador
printemps,primavera
fondation,Fundación
réponse,respuesta
voix,voz
par exemple,p.ej
amical,simpático
calendrier,calendario
documents,documentos
la communication,comunicación
but,objetivo
caractéristique,característica
lit,cama
vient,proviene
police,policía
toutes les personnes,todo el mundo
indépendant,independiente
ip,IP
approcher,Acercarse
appareils photo,cámaras
brun,marrón
physique,físico
en fonctionnement,operando
colline,Cerro
Plans,mapas
Médicament,medicamento
accord,trato
prise,sostener
notes,calificaciones
Chicago,chicago
formes,formas
un verre,vidrio
heureux,contento
Mar,mar
forgeron,Herrero
voulait,deseado
développé,desarrollado
remercier,gracias
en sécurité,a salvo
unique,único
enquête,encuesta
avant,previo
Téléphone,teléfono
sport,deporte
prêt,Listo
alimentation,alimentación
animal,animal
sources,fuentes
Mexique,México
population,población
Pennsylvanie,Pensilvania
ordinaire,regular
sécurise,seguro
la navigation,navegación
exploitation,operaciones
donc,por lo tanto
simplement,simplemente
preuve,evidencia
gare,estación
Christian,cristiano
tour,ronda
Pay Pal,paypal
favori,favorito
comprendre,comprender
option,opción
Maître,Maestro
vallée,Valle
récemment,recientemente
Probablement,probablemente
jeu,Jue
location,alquileres
mer,mar
construit,construido
publication,publicaciones
du sang,sangre
couper,Corte
à l'échelle mondiale,en todo el mundo
améliorer,mejorar
lien,conexión
éditeur,editor
salle,sala
plus grand,más grande
anti,anti
réseaux,redes
Terre,tierra
parents,padres
Nokia,Nokia
impacter,impacto
transfert,transferir
introduction,Introducción
cuisine,cocina
fort,fuerte
tél,Tel
caroline,Carolina
mariage,boda
Propriétés,propiedades
hôpital,hospital
sol,suelo
Aperçu,visión de conjunto
bateau,Embarcacion
hébergement,alojamiento
les propriétaires,dueños
maladie,enfermedad
tx,tx
excellent,excelente
payé,pagado
Italie,Italia
parfait,Perfecto
Cheveu,cabello
opportunité,oportunidad
trousse,equipo
classique,clásico
base,base
commander,mando
villes,ciudades
William,William
Express,Rápido
prix,otorgar
distance,distancia
arbre,árbol
pierre,peter
évaluation,evaluación
assurer,garantizar
Donc,por lo tanto
mur,pared
c'est à dire,es decir
impliqué,involucrado
el,el
supplémentaire,extra
surtout,especialmente
interface,interfaz
les partenaires,socios
budget,presupuesto
noté,calificado
guides,guías
Succès,éxito
maximum,máximo
ma,mamá
opération,operación
existant,existente
assez,bastante
choisi,seleccionado
garçon,chico
amazone,Amazonas
les patients,pacientes
Restaurants,Restaurantes
beau,hermosa
Attention,advertencia
vin,vino
Emplacements,ubicaciones
cheval,caballo
voter,votar
effronté,hacia adelante
fleurs,flores
étoiles,estrellas
important,significativo
listes,liza
les technologies,tecnologías
propriétaire,dueño
vendre au détail,venta minorista
animaux,animales
utile,útil
directement,directamente
fabricant,fabricante
façons,formas
est,est
fils,hijo
fournir,Proporcionar
régner,regla
Mac,Mac
logement,alojamiento
prise,acepta
III,III
GMT,GMT
apporter,traer
catalogue,catalogar
recherches,búsquedas
max,max
en essayant,difícil
mère,madre
autorité,autoridad
pris en considération,considerado
Raconté,dicho
xml,XML
circulation,tráfico
programme,programa
rejoint,Unido
saisir,aporte
stratégie,estrategia
pieds,pies
agent,agente
valide,válido
poubelle,compartimiento
moderne,moderno
Sénior,mayor
Irlande,Irlanda
enseignement,enseñando
porte,puerta
grandiose,grandioso
essai,pruebas
essai,prueba
charger,cargar
unités,unidades
au lieu,en lugar de
canadien,canadiense
frais,frio
Ordinaire,normal
a écrit,escribió
entreprise,empresa
navires,buques
tout,completo
éducatif,educativo
Maryland,Maryland
premier,principal
métal,metal
positif,positivo
floc,Florida
aptitude,aptitud física
Chinois,chino
avis,opinión
mb,megabyte
Asie,Asia
Football,fútbol americano
abstrait,abstracto
les usages,usos
sortir,producción
fonds,fondos
Monsieur,señor
plus grand,mayor que
probable,probable
développer,desarrollar
des employés,empleados
artistes,artistas
alternative,alternativa
En traitement,Procesando
responsabilité,responsabilidad
résolution,resolución
Java,Java
invité,huésped
semble,parece
publication,publicación
passe,aprobar
rapports,relaciones
confiance,confianza
van,camioneta
contenir,contiene
session,sesión
multi,multi
la photographie,fotografía
république,república
frais,Tarifa
Composants,componentes
vacances,vacaciones
siècle,siglo
académique,académico
assistance,asistencia
complété,terminado
peau,piel
graphique,gráficos
Indien,indio
prev,avance
les publicités,anuncios
Marie,María
il,Illinois
attendu,esperado
anneau,anillo
classe,calificación
sortir ensemble,Fechado
pacifique,Pacífico
Montagne,montaña
organisations,organizaciones
pop,música pop
filtre,filtrar
envoi postal,envío
véhicule,vehículo
plus long,más extenso
envisager,considerar
int,En t
nord,del Norte
derrière,detrás
panneau,panel
sol,suelo
Allemand,alemán
achat,comprar
rencontre,fósforo
proposé,propuesto
défaut,defecto
exiger,exigir
Irak,Irak
garçons,Niños
Extérieur,exterior
Profond,profundo
Matin,Mañana
autrement,de lo contrario
permet,permite
du repos,descansar
protéine,proteína
plante,planta
signalé,informado
frappé,pegar
transport,transporte
mm,mm
bassin,piscina
mini,mini
politique,política
partenaire,pareja
clause de non-responsabilité,Descargo de responsabilidad
auteurs,autores
planches,tableros
la faculté,facultad
des soirées,fiestas
poisson,pez
adhésion,afiliación
mission,misión
œil,ojo
chaîne de caractères,cuerda
sens,sentido
modifié,modificado
pack,paquete
publié,liberado
organiser,escenario
interne,interno
des biens,bienes
conseillé,recomendado
née,Nació
sauf si,a no ser que
Richard,Ricardo
détaillé,detallado
Japonais,japonés
course,raza
approuvé,aprobado
Contexte,antecedentes
cible,objetivo
sauf,excepto
personnage,personaje
USB,USB
maintenance,mantenimiento
capacité,capacidad
peut être,quizás
les fonctions,funciones
éd,ed
en mouvement,Moviente
marques,marcas
des endroits,lugares
php,php
joli,lindo
marques de commerce,marcas comerciales
phentermine,fentermina
Espagne,España
du sud,del Sur
toi-même,tú mismo
etc,etc.
l'hiver,invierno
batterie,batería
jeunesse,juventud
pression,presión
soumis,enviado
Boston,bostón
dette,deuda
mots clés,pendientes
moyen,medio
télévision,televisión
intéressé,interesado
coeur,centro
Pause,rotura
utilité,propósitos
tout au long de,a lo largo de
fixe,conjuntos
Danse,danza
bois,madera
msn,msn
lui-même,sí mismo
défini,definido
papiers,documentos
en jouant,jugando
récompenses,premios
frais,tarifa
studio,estudio
lecteur,lector
virtuel,virtual
dispositif,dispositivo
établi,establecido
réponses,respuestas
louer,alquilar
Las,las
à distance,remoto
foncé,oscuro
la programmation,programación
externe,externo
Pomme,manzana
le,le
En ce qui concerne,con respecto a
instructions,instrucciones
min,minuto
offert,Ofrecido
théorie,teoría
prendre plaisir,disfrutar
supprimer,retirar
aide,ayuda
surface,superficie
le minimum,mínimo
visuel,visual
hôte,anfitrión
variété,variedad
enseignants,maestros
isbn,ISBN
Martin,martín
Manuel,manual
bloquer,cuadra
sujets,asignaturas
agents,agentes
augmenté,aumentado
réparation,reparar
équitable,justa
civil,civil
acier,acero
entente,comprensión
Chansons,canciones
fixé,reparado
tort,incorrecto
début,comienzo
mains,manos
associé,asociados
finalement,finalmente
az,Arizona
mises à jour,Actualizaciones
bureau de bureau,escritorio
Des classes,clases
Paris,París
Ohio,Ohio
obtient,obtiene
secteur,sector
capacité,capacidad
a besoin,exigir
Jersey,jersey
ONU,Naciones Unidas
gros,grasa
pleinement,completamente
père,padre
électrique,eléctrico
vu,vio
instruments,instrumentos
devis,citas
officier,oficial
conducteur,conductor
entreprises,negocios
morte,muerto
le respect,el respeto
inconnu,desconocido
spécifié,especificado
restaurant,restaurante
Mike,Miguel
voyage,viaje
TVP,PST
valeur,valer
mi,mi
procédures,procedimientos
pauvres,pobre
prof,profesor
les yeux,ojos
relation amoureuse,relación
ouvriers,trabajadores
cultiver,granja
Géorgie,Georgia
paix,paz
traditionnel,tradicional
Campus,instalaciones
à M,Tomás
montrant,demostración
Créatif,creativo
côte,costa
bénéficier à,beneficio
le progrès,Progreso
le financement,fondos
dispositifs,dispositivos
Seigneur,señor
accorder,conceder
sous,sub
se mettre d'accord,de acuerdo
fiction,ficción
écouter,escuchar
parfois,algunas veces
montres,relojes
carrières,carreras
au-delà,más allá de
se rend,va
des familles,familia
LED,dirigió
musée,museo
eux-mêmes,ellos mismos
ventilateur,admirador
transport,transporte
intéressant,interesante
blogs,blogs
épouse,esposa
évaluation,evaluación
accepté,aceptado
ancien,anterior
la mise en oeuvre,implementación
Dix,diez
les coups,golpes
zone,zona
complexe,complejo
e,th
chat,gato
galeries,galerías
les références,referencias
mourir,morir
présenté,presentado
jack,Jacobo
appartement,plano
couler,fluir
agences,agencias
Littérature,literatura
respectif,respectivo
parent,padre
Espagnol,Español
Michigan,Michigan
Columbia,Columbia
réglage,configuración
dr,Dr
escalader,escala
supporter,pararse
économie,economía
plus haut,más alto
utile,servicial
